Gene,Expt,y,x,neighbour
3110035E14Rik,1,13952,6276,NaN
3110035E14Rik,1,13642,6313,NaN
3110035E14Rik,1,14392,6326,2411
3110035E14Rik,1,13638,6404,NaN
3110035E14Rik,1,14021,6418,2411
3110035E14Rik,1,13924,6438,2411
3110035E14Rik,1,13752,6439,NaN
3110035E14Rik,1,13765,6442,NaN
3110035E14Rik,1,13971,6452,2411
3110035E14Rik,1,13875,6456,2411
3110035E14Rik,1,13728,6473,NaN
3110035E14Rik,1,14555,6479,2411
3110035E14Rik,1,13705,6488,NaN
3110035E14Rik,1,13605,6491,NaN
3110035E14Rik,1,13675,6491,NaN
3110035E14Rik,1,13628,6519,NaN
3110035E14Rik,1,13864,6522,59
3110035E14Rik,1,13831,6531,66
3110035E14Rik,1,13770,6534,NaN
3110035E14Rik,1,13760,6539,NaN
3110035E14Rik,1,13799,6546,71
3110035E14Rik,1,13848,6547,78
3110035E14Rik,1,13871,6548,78
3110035E14Rik,1,14305,6549,2411
3110035E14Rik,1,13981,6550,73
3110035E14Rik,1,13828,6562,90
3110035E14Rik,1,13838,6562,90
3110035E14Rik,1,13912,6562,77
3110035E14Rik,1,13807,6563,88
3110035E14Rik,1,13830,6563,90
3110035E14Rik,1,14054,6566,87
3110035E14Rik,1,13817,6567,90
3110035E14Rik,1,14346,6577,2411
3110035E14Rik,1,13855,6580,89
3110035E14Rik,1,13796,6581,100
3110035E14Rik,1,14057,6581,98
3110035E14Rik,1,13794,6582,100
3110035E14Rik,1,13918,6590,2411
3110035E14Rik,1,14233,6592,2411
3110035E14Rik,1,13717,6596,NaN
3110035E14Rik,1,13904,6596,2411
3110035E14Rik,1,14099,6603,96
3110035E14Rik,1,13727,6605,NaN
3110035E14Rik,1,13671,6607,NaN
3110035E14Rik,1,14055,6607,109
3110035E14Rik,1,13900,6608,2411
3110035E14Rik,1,13775,6610,110
3110035E14Rik,1,14158,6610,2411
3110035E14Rik,1,13712,6613,NaN
3110035E14Rik,1,13966,6616,125
3110035E14Rik,1,13930,6617,124
3110035E14Rik,1,13821,6619,104
3110035E14Rik,1,13891,6619,115
3110035E14Rik,1,13983,6619,125
3110035E14Rik,1,13891,6620,115
3110035E14Rik,1,13940,6627,124
3110035E14Rik,1,13612,6628,NaN
3110035E14Rik,1,14011,6628,127
3110035E14Rik,1,13667,6634,NaN
3110035E14Rik,1,13694,6635,NaN
3110035E14Rik,1,13944,6637,124
3110035E14Rik,1,13886,6638,115
3110035E14Rik,1,14107,6638,132
3110035E14Rik,1,14241,6644,147
3110035E14Rik,1,13680,6651,NaN
3110035E14Rik,1,13908,6652,149
