Gene,Expt,y,x,neighbour
3110035E14Rik,1,16545,5799,NaN
3110035E14Rik,1,16545,5805,NaN
3110035E14Rik,1,16428,5810,NaN
3110035E14Rik,1,16032,5812,NaN
3110035E14Rik,1,16558,5813,NaN
3110035E14Rik,1,16263,5823,NaN
3110035E14Rik,1,16233,5824,NaN
3110035E14Rik,1,16256,5825,NaN
3110035E14Rik,1,16264,5845,NaN
3110035E14Rik,1,16370,5861,NaN
3110035E14Rik,1,16459,5872,NaN
3110035E14Rik,1,16532,5916,NaN
3110035E14Rik,1,15947,5931,10
3110035E14Rik,1,16542,5933,NaN
3110035E14Rik,1,16427,5937,NaN
3110035E14Rik,1,16462,5951,NaN
3110035E14Rik,1,16538,5976,NaN
3110035E14Rik,1,15763,5983,20
3110035E14Rik,1,15871,6079,2789
3110035E14Rik,1,15413,6171,80
3110035E14Rik,1,15265,6255,NaN
3110035E14Rik,1,15580,6301,2789
3110035E14Rik,1,15231,6314,NaN
3110035E14Rik,1,16316,6314,2789
3110035E14Rik,1,16336,6349,2789
3110035E14Rik,1,15426,6365,2789
3110035E14Rik,1,16309,6418,2789
3110035E14Rik,1,15316,6424,2789
3110035E14Rik,1,15373,6428,156
3110035E14Rik,1,15248,6448,174
3110035E14Rik,1,15286,6455,2789
3110035E14Rik,1,15818,6461,2789
3110035E14Rik,1,15491,6464,172
3110035E14Rik,1,16062,6474,2789
3110035E14Rik,1,15458,6480,2789
3110035E14Rik,1,15373,6484,187
3110035E14Rik,1,15457,6490,2789
3110035E14Rik,1,15699,6494,184
3110035E14Rik,1,15694,6495,184
3110035E14Rik,1,15220,6509,2789
3110035E14Rik,1,15563,6523,199
3110035E14Rik,1,15240,6550,206
3110035E14Rik,1,15404,6562,2789
3110035E14Rik,1,15408,6580,230
3110035E14Rik,1,15223,6584,228
3110035E14Rik,1,15395,6587,230
3110035E14Rik,1,15230,6591,228
3110035E14Rik,1,15382,6597,230
3110035E14Rik,1,15488,6603,250
3110035E14Rik,1,15404,6605,2789
3110035E14Rik,1,15153,6611,2789
3110035E14Rik,1,15108,6613,2789
3110035E14Rik,1,15572,6613,266
3110035E14Rik,1,16248,6616,2789
3110035E14Rik,1,15846,6625,283
3110035E14Rik,1,15691,6630,247
3110035E14Rik,1,15328,6640,2789
3110035E14Rik,1,15889,6641,280
3110035E14Rik,1,15653,6642,2789
3110035E14Rik,1,15767,6646,284
3110035E14Rik,1,15473,6650,250
3110035E14Rik,1,15623,6654,275
3110035E14Rik,1,15494,6658,2789
3110035E14Rik,1,15674,6658,297
3110035E14Rik,1,15866,6667,2789
3110035E14Rik,1,15244,6679,2789
3110035E14Rik,1,15618,6690,2789
3110035E14Rik,1,15982,6699,328
3110035E14Rik,1,15971,6712,328
3110035E14Rik,1,15691,6716,332
3110035E14Rik,1,15955,6716,328
3110035E14Rik,1,15978,6722,328
3110035E14Rik,1,15654,6730,2789
3110035E14Rik,1,15435,6731,2789
3110035E14Rik,1,16038,6733,347
3110035E14Rik,1,15976,6734,328
3110035E14Rik,1,15750,6747,330
3110035E14Rik,1,15705,6752,2789
3110035E14Rik,1,15773,6756,359
3110035E14Rik,1,15928,6762,369
3110035E14Rik,1,15554,6763,2789
3110035E14Rik,1,15612,6763,357
3110035E14Rik,1,16099,6769,361
3110035E14Rik,1,15784,6777,387
3110035E14Rik,1,15889,6777,372
3110035E14Rik,1,15783,6778,387
3110035E14Rik,1,16057,6789,378
3110035E14Rik,1,16471,6789,2789
3110035E14Rik,1,16565,6799,396
3110035E14Rik,1,15999,6800,406
3110035E14Rik,1,15800,6808,2789
3110035E14Rik,1,15764,6809,387
3110035E14Rik,1,16013,6810,406
3110035E14Rik,1,16078,6810,2789
3110035E14Rik,1,16002,6814,406
3110035E14Rik,1,16234,6819,398
3110035E14Rik,1,15998,6826,406
3110035E14Rik,1,15986,6834,406
3110035E14Rik,1,15954,6838,2789
3110035E14Rik,1,15914,6843,2789
3110035E14Rik,1,16136,6845,2789
3110035E14Rik,1,16017,6857,2789
3110035E14Rik,1,16034,6864,2789
3110035E14Rik,1,16235,6875,2789
3110035E14Rik,1,15811,6885,2789
3110035E14Rik,1,16100,6899,2789
3110035E14Rik,1,16190,6917,445
3110035E14Rik,1,16241,6949,459
3110035E14Rik,1,16160,6954,2789
3110035E14Rik,1,16396,6963,465
3110035E14Rik,1,16029,6969,2789
3110035E14Rik,1,16315,6987,476
3110035E14Rik,1,16399,6993,475
3110035E14Rik,1,16377,6996,2789
3110035E14Rik,1,16419,7008,475
3110035E14Rik,1,16328,7012,476
3110035E14Rik,1,16336,7018,476
3110035E14Rik,1,16373,7028,484
3110035E14Rik,1,16491,7039,2789
3110035E14Rik,1,16341,7040,502
3110035E14Rik,1,16349,7042,502
3110035E14Rik,1,15368,7048,499
3110035E14Rik,1,16423,7062,501
3110035E14Rik,1,16441,7066,501
3110035E14Rik,1,15938,7069,2789
3110035E14Rik,1,16511,7073,504
3110035E14Rik,1,16337,7077,518
3110035E14Rik,1,16524,7081,2789
3110035E14Rik,1,16267,7082,2789
3110035E14Rik,1,16315,7084,518
3110035E14Rik,1,16333,7109,518
3110035E14Rik,1,16445,7116,524
3110035E14Rik,1,16484,7116,528
3110035E14Rik,1,16501,7131,528
3110035E14Rik,1,16478,7145,538
3110035E14Rik,1,16408,7155,539
3110035E14Rik,1,16497,7181,572
3110035E14Rik,1,16479,7196,559
3110035E14Rik,1,16570,7209,575
3110035E14Rik,1,16498,7218,580
3110035E14Rik,1,16469,7226,597
3110035E14Rik,1,15486,7238,2789
3110035E14Rik,1,15231,7250,NaN
3110035E14Rik,1,16382,7259,612
3110035E14Rik,1,16508,7269,2789
3110035E14Rik,1,15735,7409,700
3110035E14Rik,1,16017,7451,2789
3110035E14Rik,1,16809,5799,NaN
3110035E14Rik,1,17550,5799,NaN
3110035E14Rik,1,18042,5803,NaN
3110035E14Rik,1,17002,5805,NaN
3110035E14Rik,1,16771,5812,NaN
3110035E14Rik,1,16786,5817,NaN
3110035E14Rik,1,17187,5822,NaN
3110035E14Rik,1,17022,5825,NaN
3110035E14Rik,1,17942,5825,NaN
3110035E14Rik,1,17050,5833,NaN
3110035E14Rik,1,17352,5839,NaN
3110035E14Rik,1,16763,5840,NaN
3110035E14Rik,1,18341,5842,NaN
3110035E14Rik,1,17061,5848,NaN
3110035E14Rik,1,18330,5849,NaN
3110035E14Rik,1,16605,5851,NaN
3110035E14Rik,1,17304,5854,NaN
3110035E14Rik,1,17438,5855,NaN
3110035E14Rik,1,17595,5878,NaN
3110035E14Rik,1,17113,5879,NaN
3110035E14Rik,1,17598,5880,NaN
3110035E14Rik,1,17581,5881,NaN
3110035E14Rik,1,16914,5884,NaN
3110035E14Rik,1,17196,5893,NaN
3110035E14Rik,1,17344,5895,NaN
3110035E14Rik,1,16905,5899,NaN
3110035E14Rik,1,16611,5905,NaN
3110035E14Rik,1,17055,5912,NaN
3110035E14Rik,1,16574,5914,NaN
3110035E14Rik,1,16589,5916,NaN
3110035E14Rik,1,17264,5917,NaN
3110035E14Rik,1,17203,5925,NaN
3110035E14Rik,1,18410,5925,NaN
3110035E14Rik,1,17202,5926,NaN
3110035E14Rik,1,16799,5929,NaN
3110035E14Rik,1,16573,5937,NaN
3110035E14Rik,1,17222,5939,NaN
3110035E14Rik,1,17715,5939,NaN
3110035E14Rik,1,17425,5941,NaN
3110035E14Rik,1,16595,5946,NaN
3110035E14Rik,1,17060,5950,NaN
3110035E14Rik,1,16601,5953,NaN
3110035E14Rik,1,16710,5953,NaN
3110035E14Rik,1,16585,5958,NaN
3110035E14Rik,1,17013,5962,NaN
3110035E14Rik,1,17246,5963,NaN
3110035E14Rik,1,17278,5963,NaN
3110035E14Rik,1,17612,5965,NaN
3110035E14Rik,1,17448,5968,NaN
3110035E14Rik,1,17068,5971,NaN
3110035E14Rik,1,17078,5971,NaN
3110035E14Rik,1,17076,5972,NaN
3110035E14Rik,1,17250,5975,NaN
3110035E14Rik,1,17772,5980,NaN
3110035E14Rik,1,17208,5983,NaN
3110035E14Rik,1,17014,5985,NaN
3110035E14Rik,1,17667,5985,NaN
3110035E14Rik,1,17104,5994,NaN
3110035E14Rik,1,17629,5994,NaN
3110035E14Rik,1,18205,5999,NaN
3110035E14Rik,1,16776,6004,NaN
3110035E14Rik,1,16909,6004,NaN
3110035E14Rik,1,16620,6007,NaN
3110035E14Rik,1,17756,6008,NaN
3110035E14Rik,1,17684,6010,NaN
3110035E14Rik,1,17121,6011,NaN
3110035E14Rik,1,16829,6015,NaN
3110035E14Rik,1,16771,6026,NaN
3110035E14Rik,1,16824,6028,NaN
3110035E14Rik,1,18014,6030,NaN
3110035E14Rik,1,17459,6045,NaN
3110035E14Rik,1,17164,6047,NaN
3110035E14Rik,1,16654,6049,NaN
3110035E14Rik,1,17112,6049,NaN
3110035E14Rik,1,17899,6050,NaN
3110035E14Rik,1,17099,6053,NaN
3110035E14Rik,1,17102,6058,NaN
3110035E14Rik,1,16719,6060,NaN
3110035E14Rik,1,16722,6061,NaN
3110035E14Rik,1,17949,6061,NaN
3110035E14Rik,1,16647,6062,NaN
3110035E14Rik,1,17270,6067,NaN
3110035E14Rik,1,16912,6068,NaN
3110035E14Rik,1,17969,6070,NaN
3110035E14Rik,1,17910,6073,NaN
3110035E14Rik,1,17336,6075,NaN
3110035E14Rik,1,17592,6076,NaN
3110035E14Rik,1,17997,6077,NaN
3110035E14Rik,1,16689,6080,NaN
3110035E14Rik,1,16667,6083,NaN
3110035E14Rik,1,17541,6088,NaN
3110035E14Rik,1,16581,6093,NaN
3110035E14Rik,1,16989,6095,NaN
3110035E14Rik,1,17095,6098,NaN
3110035E14Rik,1,16918,6100,NaN
3110035E14Rik,1,16993,6100,NaN
3110035E14Rik,1,17036,6106,NaN
3110035E14Rik,1,16998,6108,NaN
3110035E14Rik,1,17060,6112,NaN
3110035E14Rik,1,17285,6114,NaN
3110035E14Rik,1,16989,6116,NaN
3110035E14Rik,1,17214,6117,NaN
3110035E14Rik,1,16997,6118,NaN
3110035E14Rik,1,17095,6118,NaN
3110035E14Rik,1,17002,6120,NaN
3110035E14Rik,1,17995,6120,NaN
3110035E14Rik,1,18394,6127,NaN
3110035E14Rik,1,17670,6132,NaN
3110035E14Rik,1,17212,6144,NaN
3110035E14Rik,1,17157,6149,NaN
3110035E14Rik,1,17325,6152,NaN
3110035E14Rik,1,17221,6155,NaN
3110035E14Rik,1,16948,6160,NaN
3110035E14Rik,1,17336,6166,NaN
3110035E14Rik,1,17327,6168,NaN
3110035E14Rik,1,17726,6168,NaN
3110035E14Rik,1,17069,6170,NaN
3110035E14Rik,1,17511,6171,NaN
3110035E14Rik,1,16924,6174,NaN
3110035E14Rik,1,17563,6175,NaN
3110035E14Rik,1,17732,6180,NaN
3110035E14Rik,1,17251,6184,NaN
3110035E14Rik,1,17584,6186,NaN
3110035E14Rik,1,17025,6188,NaN
3110035E14Rik,1,17093,6188,NaN
3110035E14Rik,1,16995,6194,NaN
3110035E14Rik,1,16949,6201,NaN
3110035E14Rik,1,16874,6206,NaN
3110035E14Rik,1,16867,6211,NaN
3110035E14Rik,1,17097,6213,NaN
3110035E14Rik,1,16946,6215,NaN
3110035E14Rik,1,17724,6215,NaN
3110035E14Rik,1,16877,6219,NaN
3110035E14Rik,1,16887,6224,NaN
3110035E14Rik,1,16898,6227,NaN
3110035E14Rik,1,17450,6234,NaN
3110035E14Rik,1,17179,6236,NaN
3110035E14Rik,1,17290,6238,NaN
3110035E14Rik,1,18153,6240,NaN
3110035E14Rik,1,17691,6242,NaN
3110035E14Rik,1,17059,6243,NaN
3110035E14Rik,1,17850,6243,NaN
3110035E14Rik,1,17503,6244,NaN
3110035E14Rik,1,17544,6245,NaN
3110035E14Rik,1,17337,6249,NaN
3110035E14Rik,1,17523,6250,NaN
3110035E14Rik,1,17217,6251,NaN
3110035E14Rik,1,17032,6259,NaN
3110035E14Rik,1,16577,6263,105
3110035E14Rik,1,17108,6264,NaN
3110035E14Rik,1,17312,6267,NaN
3110035E14Rik,1,17117,6276,NaN
3110035E14Rik,1,18361,6279,NaN
3110035E14Rik,1,17108,6284,NaN
3110035E14Rik,1,17755,6289,NaN
3110035E14Rik,1,17372,6298,NaN
3110035E14Rik,1,17619,6300,NaN
3110035E14Rik,1,17041,6307,NaN
3110035E14Rik,1,18411,6307,NaN
3110035E14Rik,1,17707,6310,NaN
3110035E14Rik,1,18186,6310,NaN
3110035E14Rik,1,17892,6312,NaN
3110035E14Rik,1,17241,6314,NaN
3110035E14Rik,1,17532,6315,NaN
3110035E14Rik,1,17838,6322,NaN
3110035E14Rik,1,17179,6330,NaN
3110035E14Rik,1,17850,6345,NaN
3110035E14Rik,1,17530,6347,NaN
3110035E14Rik,1,17003,6350,NaN
3110035E14Rik,1,17066,6364,NaN
3110035E14Rik,1,17135,6369,NaN
3110035E14Rik,1,17287,6373,NaN
3110035E14Rik,1,17144,6374,NaN
3110035E14Rik,1,16835,6376,NaN
3110035E14Rik,1,18219,6377,NaN
3110035E14Rik,1,17496,6378,NaN
3110035E14Rik,1,17481,6381,NaN
3110035E14Rik,1,17652,6383,NaN
3110035E14Rik,1,17085,6387,NaN
3110035E14Rik,1,17144,6387,NaN
3110035E14Rik,1,17496,6388,NaN
3110035E14Rik,1,17777,6390,NaN
3110035E14Rik,1,17635,6391,NaN
3110035E14Rik,1,17636,6392,NaN
3110035E14Rik,1,18342,6394,NaN
3110035E14Rik,1,17147,6402,NaN
3110035E14Rik,1,18314,6402,NaN
3110035E14Rik,1,17148,6405,NaN
3110035E14Rik,1,17713,6408,NaN
3110035E14Rik,1,16925,6412,NaN
3110035E14Rik,1,17103,6412,NaN
3110035E14Rik,1,17101,6414,NaN
3110035E14Rik,1,18117,6414,NaN
3110035E14Rik,1,17078,6416,NaN
3110035E14Rik,1,17482,6417,NaN
3110035E14Rik,1,17486,6418,NaN
3110035E14Rik,1,17674,6418,NaN
3110035E14Rik,1,17107,6425,NaN
3110035E14Rik,1,17491,6427,NaN
3110035E14Rik,1,17459,6434,NaN
