Gene,Expt,y,x,neighbour
3110035E14Rik,1,12444,4818,NaN
3110035E14Rik,1,12187,4838,NaN
3110035E14Rik,1,12783,4855,3515
3110035E14Rik,1,12146,4901,NaN
3110035E14Rik,1,12849,4907,3515
3110035E14Rik,1,12068,4917,NaN
3110035E14Rik,1,11963,4969,NaN
3110035E14Rik,1,12707,4975,3515
3110035E14Rik,1,11914,5055,NaN
3110035E14Rik,1,12068,5065,NaN
3110035E14Rik,1,11930,5067,NaN
3110035E14Rik,1,12174,5071,3515
3110035E14Rik,1,12216,5071,3515
3110035E14Rik,1,11974,5077,NaN
3110035E14Rik,1,11960,5082,NaN
3110035E14Rik,1,11989,5083,NaN
3110035E14Rik,1,12397,5092,3515
3110035E14Rik,1,12398,5093,3515
3110035E14Rik,1,12024,5097,NaN
3110035E14Rik,1,12317,5115,3515
3110035E14Rik,1,11961,5125,NaN
3110035E14Rik,1,11844,5136,NaN
3110035E14Rik,1,12218,5137,109
3110035E14Rik,1,12269,5143,3515
3110035E14Rik,1,12207,5148,3515
3110035E14Rik,1,12231,5151,109
3110035E14Rik,1,12125,5159,113
3110035E14Rik,1,11941,5162,NaN
3110035E14Rik,1,12082,5162,104
3110035E14Rik,1,12755,5167,3515
3110035E14Rik,1,12427,5170,3515
3110035E14Rik,1,12147,5174,3515
3110035E14Rik,1,11977,5175,NaN
3110035E14Rik,1,12121,5175,113
3110035E14Rik,1,11888,5176,NaN
3110035E14Rik,1,12152,5176,134
3110035E14Rik,1,12175,5178,3515
3110035E14Rik,1,11944,5180,NaN
3110035E14Rik,1,11890,5184,NaN
3110035E14Rik,1,12002,5184,NaN
3110035E14Rik,1,12113,5185,113
3110035E14Rik,1,11866,5187,NaN
3110035E14Rik,1,12023,5188,121
3110035E14Rik,1,12425,5191,3515
3110035E14Rik,1,12159,5192,134
3110035E14Rik,1,11898,5193,NaN
3110035E14Rik,1,12329,5198,3515
3110035E14Rik,1,11911,5199,NaN
3110035E14Rik,1,11914,5199,NaN
3110035E14Rik,1,12079,5199,152
3110035E14Rik,1,12080,5200,152
3110035E14Rik,1,11873,5201,NaN
3110035E14Rik,1,12335,5203,3515
3110035E14Rik,1,11985,5205,NaN
3110035E14Rik,1,12215,5207,156
3110035E14Rik,1,11898,5208,NaN
3110035E14Rik,1,12003,5208,NaN
3110035E14Rik,1,12144,5208,134
3110035E14Rik,1,11914,5210,NaN
3110035E14Rik,1,12332,5211,3515
3110035E14Rik,1,12491,5213,3515
3110035E14Rik,1,12212,5214,156
3110035E14Rik,1,12081,5216,152
3110035E14Rik,1,12017,5219,142
3110035E14Rik,1,12293,5222,151
3110035E14Rik,1,12030,5227,142
3110035E14Rik,1,11889,5229,NaN
3110035E14Rik,1,12000,5233,166
3110035E14Rik,1,12437,5233,3515
3110035E14Rik,1,11972,5235,NaN
3110035E14Rik,1,12011,5235,166
3110035E14Rik,1,12451,5237,3515
3110035E14Rik,1,12233,5238,165
3110035E14Rik,1,12446,5238,3515
3110035E14Rik,1,12173,5240,157
3110035E14Rik,1,12439,5240,3515
3110035E14Rik,1,11957,5244,NaN
3110035E14Rik,1,12219,5245,165
3110035E14Rik,1,12218,5246,165
3110035E14Rik,1,12445,5246,180
3110035E14Rik,1,11979,5248,NaN
3110035E14Rik,1,12263,5248,3515
3110035E14Rik,1,11883,5249,NaN
3110035E14Rik,1,11900,5249,NaN
3110035E14Rik,1,12431,5249,180
3110035E14Rik,1,12224,5250,165
3110035E14Rik,1,12491,5250,167
3110035E14Rik,1,12135,5252,3515
3110035E14Rik,1,12191,5253,177
3110035E14Rik,1,12529,5253,181
3110035E14Rik,1,11900,5255,NaN
3110035E14Rik,1,12609,5256,3515
3110035E14Rik,1,12506,5257,181
3110035E14Rik,1,12515,5258,181
3110035E14Rik,1,11886,5260,NaN
3110035E14Rik,1,11851,5261,NaN
3110035E14Rik,1,12602,5262,3515
3110035E14Rik,1,12302,5264,174
3110035E14Rik,1,12142,5265,190
3110035E14Rik,1,12141,5266,203
3110035E14Rik,1,12317,5268,174
3110035E14Rik,1,12346,5271,193
3110035E14Rik,1,12445,5273,180
3110035E14Rik,1,11842,5276,NaN
3110035E14Rik,1,12062,5276,187
3110035E14Rik,1,12258,5277,189
3110035E14Rik,1,12520,5277,181
3110035E14Rik,1,12035,5279,194
3110035E14Rik,1,12630,5280,196
3110035E14Rik,1,12117,5285,203
3110035E14Rik,1,12315,5285,3515
3110035E14Rik,1,12258,5291,189
3110035E14Rik,1,12190,5292,211
3110035E14Rik,1,11866,5293,NaN
3110035E14Rik,1,11853,5295,NaN
3110035E14Rik,1,12527,5298,3515
3110035E14Rik,1,12258,5299,189
3110035E14Rik,1,12336,5299,193
3110035E14Rik,1,12638,5299,207
3110035E14Rik,1,11943,5300,NaN
3110035E14Rik,1,12300,5304,213
3110035E14Rik,1,12209,5306,211
3110035E14Rik,1,12212,5306,211
