Gene,Expt,y,x,neighbour
3110035E14Rik,1,10688,21640,NaN
3110035E14Rik,1,11092,21735,NaN
3110035E14Rik,1,11101,21737,NaN
3110035E14Rik,1,10876,21746,NaN
3110035E14Rik,1,11118,21989,NaN
3110035E14Rik,1,12645,21713,NaN
3110035E14Rik,1,11751,21753,NaN
3110035E14Rik,1,12564,21869,NaN
3110035E14Rik,1,12381,21870,NaN
3110035E14Rik,1,12009,21879,NaN
3110035E14Rik,1,12586,21992,NaN
3110035E14Rik,1,14151,21625,NaN
3110035E14Rik,1,14935,21630,NaN
3110035E14Rik,1,14934,21635,NaN
3110035E14Rik,1,14187,21641,NaN
3110035E14Rik,1,14831,21649,NaN
3110035E14Rik,1,14823,21681,NaN
3110035E14Rik,1,14828,21683,NaN
3110035E14Rik,1,14817,21708,NaN
3110035E14Rik,1,14677,21711,NaN
3110035E14Rik,1,14529,21720,NaN
3110035E14Rik,1,14967,21728,2915
3110035E14Rik,1,14815,21754,2915
3110035E14Rik,1,14973,21757,2915
3110035E14Rik,1,14736,21783,50
3110035E14Rik,1,14730,21787,50
3110035E14Rik,1,14596,21794,41
3110035E14Rik,1,14883,21802,54
3110035E14Rik,1,14720,21803,50
3110035E14Rik,1,14878,21807,54
3110035E14Rik,1,14826,21808,43
3110035E14Rik,1,14925,21817,2915
3110035E14Rik,1,14876,21818,54
3110035E14Rik,1,13737,21836,NaN
3110035E14Rik,1,14964,21841,2915
3110035E14Rik,1,14609,21844,2915
3110035E14Rik,1,14601,21846,2915
3110035E14Rik,1,14606,21846,2915
3110035E14Rik,1,14668,21847,64
3110035E14Rik,1,14588,21849,2915
3110035E14Rik,1,14917,21859,69
3110035E14Rik,1,14914,21866,69
3110035E14Rik,1,14768,21879,2915
3110035E14Rik,1,14702,21885,81
3110035E14Rik,1,13772,21896,NaN
3110035E14Rik,1,14712,21951,100
3110035E14Rik,1,15624,21689,2915
3110035E14Rik,1,11016,22040,NaN
3110035E14Rik,1,10526,22375,NaN
3110035E14Rik,1,10735,22423,NaN
3110035E14Rik,1,11256,22555,NaN
3110035E14Rik,1,10807,22713,NaN
3110035E14Rik,1,10859,23263,NaN
3110035E14Rik,1,11299,23292,NaN
3110035E14Rik,1,10663,23423,NaN
3110035E14Rik,1,10653,23424,NaN
3110035E14Rik,1,11156,23441,NaN
3110035E14Rik,1,10628,23443,NaN
3110035E14Rik,1,11210,23638,NaN
3110035E14Rik,1,10780,23654,NaN
3110035E14Rik,1,10960,23715,NaN
3110035E14Rik,1,12545,22052,NaN
3110035E14Rik,1,11871,22248,NaN
3110035E14Rik,1,11525,22309,NaN
3110035E14Rik,1,12386,22323,NaN
3110035E14Rik,1,11766,22380,NaN
3110035E14Rik,1,12071,22398,NaN
3110035E14Rik,1,13022,22615,NaN
3110035E14Rik,1,11594,22681,NaN
3110035E14Rik,1,11954,22745,NaN
3110035E14Rik,1,11936,22749,NaN
3110035E14Rik,1,12802,22844,NaN
3110035E14Rik,1,12051,22856,NaN
3110035E14Rik,1,12049,22896,NaN
3110035E14Rik,1,12237,22913,NaN
3110035E14Rik,1,13118,23126,NaN
3110035E14Rik,1,12994,23171,NaN
3110035E14Rik,1,12940,23179,NaN
3110035E14Rik,1,13066,23229,NaN
3110035E14Rik,1,12952,23253,NaN
3110035E14Rik,1,12883,23285,NaN
3110035E14Rik,1,12731,23341,NaN
3110035E14Rik,1,12550,23345,NaN
3110035E14Rik,1,12961,23353,NaN
3110035E14Rik,1,13087,23353,NaN
3110035E14Rik,1,12759,23384,NaN
3110035E14Rik,1,13028,23406,NaN
3110035E14Rik,1,12764,23415,NaN
3110035E14Rik,1,13141,23416,NaN
3110035E14Rik,1,12256,23455,NaN
3110035E14Rik,1,12925,23461,NaN
3110035E14Rik,1,12720,23486,NaN
3110035E14Rik,1,12645,23503,NaN
