Gene,Expt,y,x,neighbour
3110035E14Rik,1,14701,7491,NaN
3110035E14Rik,1,14353,7493,2841
3110035E14Rik,1,14461,7494,2
3110035E14Rik,1,14243,7515,NaN
3110035E14Rik,1,13487,7520,NaN
3110035E14Rik,1,14659,7557,2841
3110035E14Rik,1,13640,7561,NaN
3110035E14Rik,1,13603,7572,NaN
3110035E14Rik,1,13691,7586,NaN
3110035E14Rik,1,13596,7590,NaN
3110035E14Rik,1,13592,7598,NaN
3110035E14Rik,1,14056,7615,NaN
3110035E14Rik,1,14564,7630,2841
3110035E14Rik,1,13635,7631,NaN
3110035E14Rik,1,13865,7634,NaN
3110035E14Rik,1,13794,7636,NaN
3110035E14Rik,1,13696,7640,NaN
3110035E14Rik,1,13704,7643,NaN
3110035E14Rik,1,14617,7645,2841
3110035E14Rik,1,13876,7651,NaN
3110035E14Rik,1,13926,7660,NaN
3110035E14Rik,1,13872,7664,NaN
3110035E14Rik,1,13936,7668,NaN
3110035E14Rik,1,13935,7669,NaN
3110035E14Rik,1,14001,7673,NaN
3110035E14Rik,1,13528,7678,NaN
3110035E14Rik,1,13579,7681,NaN
3110035E14Rik,1,13851,7691,NaN
3110035E14Rik,1,13758,7698,NaN
3110035E14Rik,1,13689,7702,NaN
3110035E14Rik,1,13582,7703,NaN
3110035E14Rik,1,13697,7706,NaN
3110035E14Rik,1,14195,7708,NaN
3110035E14Rik,1,13612,7710,NaN
3110035E14Rik,1,13723,7713,NaN
3110035E14Rik,1,13578,7714,NaN
3110035E14Rik,1,13547,7716,NaN
3110035E14Rik,1,13940,7720,NaN
3110035E14Rik,1,13530,7721,NaN
3110035E14Rik,1,13686,7729,NaN
3110035E14Rik,1,13780,7732,NaN
3110035E14Rik,1,13594,7733,NaN
3110035E14Rik,1,13749,7740,NaN
3110035E14Rik,1,13876,7740,NaN
3110035E14Rik,1,13998,7744,NaN
3110035E14Rik,1,13837,7745,NaN
3110035E14Rik,1,13621,7749,NaN
3110035E14Rik,1,13984,7750,NaN
3110035E14Rik,1,13606,7751,NaN
3110035E14Rik,1,13501,7754,NaN
3110035E14Rik,1,13679,7754,NaN
3110035E14Rik,1,13669,7755,NaN
3110035E14Rik,1,14145,7759,NaN
3110035E14Rik,1,13629,7760,NaN
3110035E14Rik,1,13848,7763,NaN
3110035E14Rik,1,13816,7768,NaN
3110035E14Rik,1,13877,7768,NaN
3110035E14Rik,1,13878,7768,NaN
3110035E14Rik,1,13906,7768,NaN
3110035E14Rik,1,13849,7769,NaN
3110035E14Rik,1,14102,7771,NaN
3110035E14Rik,1,14608,7771,2841
3110035E14Rik,1,13774,7772,NaN
3110035E14Rik,1,13988,7774,NaN
3110035E14Rik,1,13671,7785,NaN
3110035E14Rik,1,13956,7791,NaN
3110035E14Rik,1,13650,7798,NaN
3110035E14Rik,1,13805,7799,NaN
3110035E14Rik,1,13695,7802,NaN
3110035E14Rik,1,13982,7802,NaN
3110035E14Rik,1,13917,7807,NaN
3110035E14Rik,1,13919,7808,NaN
3110035E14Rik,1,13856,7817,NaN
3110035E14Rik,1,13980,7820,NaN
3110035E14Rik,1,14282,7823,2841
3110035E14Rik,1,13645,7828,NaN
3110035E14Rik,1,14027,7830,NaN
3110035E14Rik,1,14004,7833,NaN
3110035E14Rik,1,14056,7833,NaN
3110035E14Rik,1,13575,7835,NaN
3110035E14Rik,1,13662,7836,NaN
3110035E14Rik,1,13918,7839,NaN
3110035E14Rik,1,14044,7840,NaN
3110035E14Rik,1,13579,7843,NaN
3110035E14Rik,1,13705,7843,NaN
3110035E14Rik,1,13964,7844,NaN
3110035E14Rik,1,13900,7850,NaN
3110035E14Rik,1,13847,7851,NaN
3110035E14Rik,1,14293,7853,2841
3110035E14Rik,1,14163,7855,2841
3110035E14Rik,1,14146,7858,2841
3110035E14Rik,1,14252,7861,2841
3110035E14Rik,1,14190,7863,72
3110035E14Rik,1,14066,7871,NaN
3110035E14Rik,1,13686,7872,NaN
3110035E14Rik,1,13775,7875,NaN
3110035E14Rik,1,13713,7879,NaN
3110035E14Rik,1,13736,7881,NaN
3110035E14Rik,1,13990,7881,NaN
3110035E14Rik,1,14245,7890,76
3110035E14Rik,1,14062,7891,NaN
3110035E14Rik,1,14049,7892,NaN
3110035E14Rik,1,13882,7894,NaN
3110035E14Rik,1,14066,7894,NaN
3110035E14Rik,1,13985,7896,NaN
3110035E14Rik,1,14174,7900,89
3110035E14Rik,1,14030,7901,NaN
3110035E14Rik,1,13852,7904,NaN
3110035E14Rik,1,13697,7906,NaN
3110035E14Rik,1,13891,7908,NaN
3110035E14Rik,1,13605,7910,NaN
3110035E14Rik,1,13541,7914,NaN
3110035E14Rik,1,14055,7918,NaN
3110035E14Rik,1,13757,7931,NaN
3110035E14Rik,1,14007,7931,NaN
3110035E14Rik,1,13956,7938,NaN
3110035E14Rik,1,14191,7946,95
3110035E14Rik,1,14242,7948,101
3110035E14Rik,1,14021,7954,NaN
3110035E14Rik,1,13708,7956,NaN
3110035E14Rik,1,14003,7963,NaN
3110035E14Rik,1,14014,7971,NaN
3110035E14Rik,1,13892,7977,NaN
3110035E14Rik,1,14303,7995,108
3110035E14Rik,1,14244,7997,112
3110035E14Rik,1,14402,8003,121
3110035E14Rik,1,14579,8003,2841
3110035E14Rik,1,14320,8009,108
3110035E14Rik,1,14320,8010,108
3110035E14Rik,1,13718,8012,NaN
3110035E14Rik,1,14134,8017,2841
3110035E14Rik,1,14150,8017,114
3110035E14Rik,1,13565,8019,NaN
3110035E14Rik,1,13896,8023,NaN
3110035E14Rik,1,14302,8026,2841
3110035E14Rik,1,14303,8027,2841
3110035E14Rik,1,14404,8030,128
3110035E14Rik,1,14526,8033,135
3110035E14Rik,1,14124,8036,138
3110035E14Rik,1,14306,8037,2841
3110035E14Rik,1,14147,8039,138
3110035E14Rik,1,14385,8039,120
3110035E14Rik,1,14408,8043,128
3110035E14Rik,1,14193,8054,127
3110035E14Rik,1,14159,8055,138
3110035E14Rik,1,14478,8065,145
3110035E14Rik,1,14014,8067,NaN
3110035E14Rik,1,14423,8068,2841
3110035E14Rik,1,14165,8074,152
3110035E14Rik,1,14238,8077,146
3110035E14Rik,1,14253,8077,142
3110035E14Rik,1,14167,8081,152
3110035E14Rik,1,14317,8085,161
3110035E14Rik,1,14439,8085,159
3110035E14Rik,1,14551,8087,155
3110035E14Rik,1,14323,8088,161
