Gene,Expt,y,x,neighbour
3110035E14Rik,1,12703,3789,NaN
3110035E14Rik,1,11846,3792,NaN
3110035E14Rik,1,11684,3797,NaN
3110035E14Rik,1,12748,3800,NaN
3110035E14Rik,1,11512,3811,7
3110035E14Rik,1,11520,3812,7
3110035E14Rik,1,12182,3835,NaN
3110035E14Rik,1,13815,3774,NaN
3110035E14Rik,1,13564,3775,NaN
3110035E14Rik,1,13634,3775,NaN
3110035E14Rik,1,13212,3776,NaN
3110035E14Rik,1,13110,3778,NaN
3110035E14Rik,1,13135,3778,NaN
3110035E14Rik,1,13528,3778,NaN
3110035E14Rik,1,13550,3778,NaN
3110035E14Rik,1,13574,3779,NaN
3110035E14Rik,1,13798,3780,NaN
3110035E14Rik,1,14047,3780,NaN
3110035E14Rik,1,13585,3782,NaN
3110035E14Rik,1,13576,3783,NaN
3110035E14Rik,1,13174,3784,NaN
3110035E14Rik,1,14382,3784,NaN
3110035E14Rik,1,13568,3786,NaN
3110035E14Rik,1,13615,3786,NaN
3110035E14Rik,1,13564,3787,NaN
3110035E14Rik,1,13548,3788,NaN
3110035E14Rik,1,13334,3790,NaN
3110035E14Rik,1,14151,3790,NaN
3110035E14Rik,1,12870,3791,NaN
3110035E14Rik,1,14238,3791,NaN
3110035E14Rik,1,13830,3792,NaN
3110035E14Rik,1,13266,3794,NaN
3110035E14Rik,1,13835,3794,NaN
3110035E14Rik,1,13750,3795,NaN
3110035E14Rik,1,13291,3798,NaN
3110035E14Rik,1,13939,3798,NaN
3110035E14Rik,1,13292,3799,NaN
3110035E14Rik,1,13821,3799,NaN
3110035E14Rik,1,14071,3799,NaN
3110035E14Rik,1,12942,3802,NaN
3110035E14Rik,1,13276,3803,NaN
3110035E14Rik,1,14025,3804,NaN
3110035E14Rik,1,13304,3805,NaN
3110035E14Rik,1,13633,3805,NaN
3110035E14Rik,1,14028,3805,NaN
3110035E14Rik,1,13446,3806,NaN
3110035E14Rik,1,13676,3806,NaN
3110035E14Rik,1,13445,3807,NaN
3110035E14Rik,1,13869,3807,NaN
3110035E14Rik,1,13975,3807,NaN
3110035E14Rik,1,13919,3808,NaN
3110035E14Rik,1,12859,3809,NaN
3110035E14Rik,1,13004,3809,NaN
3110035E14Rik,1,13439,3809,NaN
3110035E14Rik,1,13663,3809,NaN
3110035E14Rik,1,13017,3810,NaN
3110035E14Rik,1,14267,3810,NaN
3110035E14Rik,1,13042,3811,NaN
3110035E14Rik,1,13031,3812,NaN
3110035E14Rik,1,13075,3812,NaN
3110035E14Rik,1,12966,3813,NaN
3110035E14Rik,1,13101,3813,NaN
3110035E14Rik,1,14201,3813,NaN
3110035E14Rik,1,13074,3814,NaN
3110035E14Rik,1,13102,3814,NaN
3110035E14Rik,1,13334,3814,NaN
3110035E14Rik,1,14986,3776,NaN
3110035E14Rik,1,15678,3776,NaN
3110035E14Rik,1,15370,3780,NaN
3110035E14Rik,1,14787,3782,NaN
3110035E14Rik,1,15002,3783,NaN
3110035E14Rik,1,14806,3787,NaN
3110035E14Rik,1,16333,3788,NaN
3110035E14Rik,1,12490,3853,NaN
3110035E14Rik,1,12267,3856,NaN
3110035E14Rik,1,12268,3861,NaN
3110035E14Rik,1,12159,3865,NaN
3110035E14Rik,1,12690,3875,NaN
3110035E14Rik,1,11751,3877,25
3110035E14Rik,1,12756,3887,NaN
3110035E14Rik,1,12576,3889,NaN
3110035E14Rik,1,11434,3900,33
3110035E14Rik,1,11398,3901,3611
3110035E14Rik,1,12685,3911,NaN
3110035E14Rik,1,12749,3939,NaN
3110035E14Rik,1,11308,3963,51
3110035E14Rik,1,12141,3963,44
3110035E14Rik,1,12236,3964,3611
3110035E14Rik,1,11491,3966,3611
3110035E14Rik,1,11368,3972,3611
3110035E14Rik,1,12300,4029,3611
3110035E14Rik,1,12367,4033,3611
3110035E14Rik,1,11877,4043,3611
3110035E14Rik,1,12293,4066,3611
3110035E14Rik,1,12515,4079,81
3110035E14Rik,1,12042,4087,86
3110035E14Rik,1,11605,4096,3611
3110035E14Rik,1,11637,4141,3611
3110035E14Rik,1,12224,4174,3611
3110035E14Rik,1,12696,4175,118
3110035E14Rik,1,12714,4209,3611
3110035E14Rik,1,11452,4243,3611
3110035E14Rik,1,11596,4264,3611
3110035E14Rik,1,11534,4282,3611
3110035E14Rik,1,12333,4286,3611
3110035E14Rik,1,11734,4287,163
3110035E14Rik,1,11317,4309,3611
3110035E14Rik,1,11795,4310,3611
3110035E14Rik,1,11742,4312,3611
3110035E14Rik,1,11302,4319,NaN
3110035E14Rik,1,11347,4327,175
3110035E14Rik,1,11336,4329,175
3110035E14Rik,1,11850,4331,3611
3110035E14Rik,1,11801,4338,3611
3110035E14Rik,1,11735,4354,193
3110035E14Rik,1,11391,4355,196
3110035E14Rik,1,12482,4356,3611
3110035E14Rik,1,11380,4358,196
3110035E14Rik,1,11785,4359,205
3110035E14Rik,1,11357,4363,3611
3110035E14Rik,1,11523,4363,202
3110035E14Rik,1,11697,4366,3611
3110035E14Rik,1,11550,4367,202
3110035E14Rik,1,11781,4368,205
3110035E14Rik,1,11748,4379,193
3110035E14Rik,1,11488,4380,206
3110035E14Rik,1,11818,4380,200
3110035E14Rik,1,11342,4386,211
3110035E14Rik,1,11346,4387,211
3110035E14Rik,1,11535,4388,202
3110035E14Rik,1,11331,4394,211
3110035E14Rik,1,11471,4394,206
3110035E14Rik,1,11783,4394,205
3110035E14Rik,1,11627,4396,222
3110035E14Rik,1,12366,4401,3611
3110035E14Rik,1,11691,4403,220
3110035E14Rik,1,11758,4408,224
3110035E14Rik,1,12036,4412,3611
3110035E14Rik,1,11902,4415,3611
3110035E14Rik,1,11931,4415,228
3110035E14Rik,1,11456,4419,233
3110035E14Rik,1,12154,4420,3611
3110035E14Rik,1,11366,4425,215
3110035E14Rik,1,12527,4425,3611
3110035E14Rik,1,11736,4427,3611
3110035E14Rik,1,11830,4428,225
3110035E14Rik,1,11767,4431,224
3110035E14Rik,1,11610,4432,222
3110035E14Rik,1,11511,4434,232
3110035E14Rik,1,11292,4435,NaN
3110035E14Rik,1,12427,4438,3611
3110035E14Rik,1,11916,4443,237
3110035E14Rik,1,11588,4444,234
3110035E14Rik,1,11841,4447,225
3110035E14Rik,1,11583,4450,234
3110035E14Rik,1,11771,4454,251
3110035E14Rik,1,11629,4458,3611
3110035E14Rik,1,11686,4460,242
3110035E14Rik,1,11531,4461,248
3110035E14Rik,1,11502,4464,248
3110035E14Rik,1,11998,4466,262
3110035E14Rik,1,11722,4467,261
3110035E14Rik,1,11466,4468,3611
3110035E14Rik,1,11933,4469,238
3110035E14Rik,1,11435,4475,257
3110035E14Rik,1,11563,4475,271
3110035E14Rik,1,11993,4476,262
3110035E14Rik,1,12113,4481,256
3110035E14Rik,1,11708,4484,261
3110035E14Rik,1,11509,4486,267
