Gene,Expt,y,x,neighbour
3110035E14Rik,1,13075,20549,NaN
3110035E14Rik,1,12833,20655,NaN
3110035E14Rik,1,13111,21072,NaN
3110035E14Rik,1,13014,21241,NaN
3110035E14Rik,1,12849,21378,NaN
3110035E14Rik,1,12766,21471,NaN
3110035E14Rik,1,12869,21569,NaN
3110035E14Rik,1,12905,21650,NaN
3110035E14Rik,1,13000,21732,NaN
3110035E14Rik,1,12992,21884,NaN
3110035E14Rik,1,12987,21928,NaN
3110035E14Rik,1,13063,22174,NaN
3110035E14Rik,1,13101,22238,NaN
3110035E14Rik,1,13875,20540,NaN
3110035E14Rik,1,13343,20591,NaN
3110035E14Rik,1,14313,20626,NaN
3110035E14Rik,1,14662,20642,NaN
3110035E14Rik,1,13199,20655,NaN
3110035E14Rik,1,14891,20696,NaN
3110035E14Rik,1,13567,20707,NaN
3110035E14Rik,1,14294,20745,NaN
3110035E14Rik,1,13710,20755,NaN
3110035E14Rik,1,13327,20787,NaN
3110035E14Rik,1,13166,20814,NaN
3110035E14Rik,1,13188,20846,NaN
3110035E14Rik,1,14773,20899,NaN
3110035E14Rik,1,14208,20902,NaN
3110035E14Rik,1,13402,20946,NaN
3110035E14Rik,1,13403,20946,NaN
3110035E14Rik,1,13633,20970,NaN
3110035E14Rik,1,13336,21082,NaN
3110035E14Rik,1,14501,21102,NaN
3110035E14Rik,1,14429,21111,NaN
3110035E14Rik,1,14119,21164,NaN
3110035E14Rik,1,13897,21193,NaN
3110035E14Rik,1,13920,21194,NaN
3110035E14Rik,1,14308,21205,NaN
3110035E14Rik,1,14436,21205,NaN
3110035E14Rik,1,14846,21213,NaN
3110035E14Rik,1,13285,21231,NaN
3110035E14Rik,1,13906,21268,NaN
3110035E14Rik,1,13379,21281,NaN
3110035E14Rik,1,13379,21282,NaN
3110035E14Rik,1,14428,21291,NaN
3110035E14Rik,1,14405,21365,NaN
3110035E14Rik,1,14907,21376,NaN
3110035E14Rik,1,14935,21396,NaN
3110035E14Rik,1,14942,21421,NaN
3110035E14Rik,1,13896,21437,NaN
3110035E14Rik,1,14209,21463,NaN
3110035E14Rik,1,14148,21521,NaN
3110035E14Rik,1,14148,21522,NaN
3110035E14Rik,1,13660,21553,NaN
3110035E14Rik,1,14450,21627,NaN
3110035E14Rik,1,14727,21660,NaN
3110035E14Rik,1,13348,21708,NaN
3110035E14Rik,1,14837,21802,NaN
3110035E14Rik,1,14723,21823,NaN
3110035E14Rik,1,13454,21828,NaN
3110035E14Rik,1,14691,21918,NaN
3110035E14Rik,1,13651,21939,NaN
3110035E14Rik,1,13461,21947,NaN
3110035E14Rik,1,14693,21982,NaN
3110035E14Rik,1,13240,22091,NaN
3110035E14Rik,1,13316,22166,NaN
3110035E14Rik,1,14527,22170,NaN
3110035E14Rik,1,13444,22223,NaN
3110035E14Rik,1,16463,20528,NaN
3110035E14Rik,1,15951,20531,NaN
3110035E14Rik,1,15662,20585,NaN
3110035E14Rik,1,16498,20612,27
3110035E14Rik,1,16485,20645,51
3110035E14Rik,1,15413,20651,NaN
3110035E14Rik,1,15711,20677,NaN
3110035E14Rik,1,16586,20685,3725
3110035E14Rik,1,15212,20735,NaN
3110035E14Rik,1,16759,20743,93
3110035E14Rik,1,16468,20744,94
3110035E14Rik,1,16344,20747,100
3110035E14Rik,1,15170,20750,NaN
3110035E14Rik,1,16481,20751,94
3110035E14Rik,1,16475,20759,94
3110035E14Rik,1,16801,20767,112
3110035E14Rik,1,16659,20768,3725
3110035E14Rik,1,16738,20773,105
3110035E14Rik,1,16740,20777,105
3110035E14Rik,1,16794,20793,3725
3110035E14Rik,1,16691,20819,3725
3110035E14Rik,1,16680,20820,3725
3110035E14Rik,1,16607,20821,129
