Gene,Expt,y,x,neighbour
3110035E14Rik,1,14772,7927,NaN
3110035E14Rik,1,14776,8290,NaN
3110035E14Rik,1,14780,8325,NaN
3110035E14Rik,1,14781,8342,NaN
3110035E14Rik,1,14777,8427,NaN
3110035E14Rik,1,14772,8638,NaN
3110035E14Rik,1,16062,7566,NaN
3110035E14Rik,1,16592,7566,NaN
3110035E14Rik,1,16369,7570,NaN
3110035E14Rik,1,15899,7574,NaN
3110035E14Rik,1,16377,7577,NaN
3110035E14Rik,1,14974,7579,NaN
3110035E14Rik,1,16431,7580,NaN
3110035E14Rik,1,16372,7584,NaN
3110035E14Rik,1,16519,7596,NaN
3110035E14Rik,1,15928,7605,NaN
3110035E14Rik,1,15007,7607,3
3110035E14Rik,1,16379,7611,NaN
3110035E14Rik,1,15238,7630,6
3110035E14Rik,1,16570,7635,NaN
3110035E14Rik,1,16583,7638,NaN
3110035E14Rik,1,16582,7639,NaN
3110035E14Rik,1,16584,7646,NaN
3110035E14Rik,1,16589,7646,NaN
3110035E14Rik,1,16595,7648,NaN
3110035E14Rik,1,16621,7650,NaN
3110035E14Rik,1,16575,7651,NaN
3110035E14Rik,1,16587,7651,NaN
3110035E14Rik,1,16593,7660,NaN
3110035E14Rik,1,16588,7661,NaN
3110035E14Rik,1,16412,7678,NaN
3110035E14Rik,1,16101,7680,NaN
3110035E14Rik,1,16538,7681,NaN
3110035E14Rik,1,16515,7683,NaN
3110035E14Rik,1,16531,7684,NaN
3110035E14Rik,1,16569,7699,NaN
3110035E14Rik,1,15696,7716,16
3110035E14Rik,1,16596,7720,NaN
3110035E14Rik,1,15338,7722,19
3110035E14Rik,1,16092,7737,NaN
3110035E14Rik,1,16473,7769,NaN
3110035E14Rik,1,16474,7770,NaN
3110035E14Rik,1,15716,7777,3321
3110035E14Rik,1,16057,7779,37
3110035E14Rik,1,16420,7824,NaN
3110035E14Rik,1,14943,7848,64
3110035E14Rik,1,16434,7850,NaN
3110035E14Rik,1,16413,7852,NaN
3110035E14Rik,1,16068,7860,65
3110035E14Rik,1,15003,7921,3321
3110035E14Rik,1,16164,7962,101
3110035E14Rik,1,15772,8003,108
3110035E14Rik,1,15655,8046,130
3110035E14Rik,1,15127,8053,129
3110035E14Rik,1,15737,8065,140
3110035E14Rik,1,14974,8066,3321
3110035E14Rik,1,15174,8066,3321
3110035E14Rik,1,15476,8069,3321
3110035E14Rik,1,15520,8087,3321
3110035E14Rik,1,15864,8087,3321
3110035E14Rik,1,15402,8089,3321
3110035E14Rik,1,16574,8094,144
3110035E14Rik,1,15145,8125,3321
3110035E14Rik,1,14879,8136,3321
3110035E14Rik,1,15065,8140,3321
3110035E14Rik,1,14897,8158,168
3110035E14Rik,1,14819,8166,172
3110035E14Rik,1,15238,8167,179
3110035E14Rik,1,15221,8172,179
3110035E14Rik,1,15721,8174,3321
3110035E14Rik,1,15137,8178,181
3110035E14Rik,1,15228,8186,179
3110035E14Rik,1,15266,8186,3321
3110035E14Rik,1,14832,8195,3321
3110035E14Rik,1,15011,8202,3321
3110035E14Rik,1,15315,8205,3321
3110035E14Rik,1,15264,8208,210
3110035E14Rik,1,16171,8211,202
3110035E14Rik,1,15242,8215,210
3110035E14Rik,1,15055,8217,207
3110035E14Rik,1,15118,8218,211
3110035E14Rik,1,15055,8221,207
3110035E14Rik,1,15298,8223,219
3110035E14Rik,1,16201,8223,3321
3110035E14Rik,1,15459,8224,3321
3110035E14Rik,1,14965,8226,215
3110035E14Rik,1,15051,8226,207
3110035E14Rik,1,15108,8231,217
3110035E14Rik,1,15117,8231,211
3110035E14Rik,1,15068,8234,207
3110035E14Rik,1,15066,8236,207
3110035E14Rik,1,14920,8238,3321
3110035E14Rik,1,14897,8241,218
3110035E14Rik,1,14802,8244,203
3110035E14Rik,1,14980,8245,215
3110035E14Rik,1,15094,8250,217
3110035E14Rik,1,16011,8251,3321
3110035E14Rik,1,14985,8252,215
3110035E14Rik,1,15320,8255,219
3110035E14Rik,1,15302,8257,219
3110035E14Rik,1,15251,8258,210
3110035E14Rik,1,14821,8261,234
3110035E14Rik,1,15292,8261,219
3110035E14Rik,1,15222,8262,232
3110035E14Rik,1,15291,8262,219
3110035E14Rik,1,15579,8265,3321
3110035E14Rik,1,14874,8268,228
3110035E14Rik,1,15316,8269,219
3110035E14Rik,1,15007,8276,3321
3110035E14Rik,1,15162,8277,242
3110035E14Rik,1,14926,8281,3321
3110035E14Rik,1,15247,8283,232
3110035E14Rik,1,15354,8284,247
3110035E14Rik,1,15114,8286,3321
3110035E14Rik,1,15372,8287,248
3110035E14Rik,1,15471,8290,3321
3110035E14Rik,1,14983,8292,256
3110035E14Rik,1,15201,8292,232
3110035E14Rik,1,15113,8294,3321
3110035E14Rik,1,15361,8297,247
3110035E14Rik,1,15564,8300,241
