Gene,Expt,y,x,neighbour
3110035E14Rik,1,8067,22424,NaN
3110035E14Rik,1,9382,22656,NaN
3110035E14Rik,1,8828,22788,NaN
3110035E14Rik,1,8743,23007,NaN
3110035E14Rik,1,8676,23009,NaN
3110035E14Rik,1,9061,23092,NaN
3110035E14Rik,1,8776,23145,NaN
3110035E14Rik,1,9433,23179,NaN
3110035E14Rik,1,7954,23193,NaN
3110035E14Rik,1,7931,23214,NaN
3110035E14Rik,1,9061,23265,NaN
3110035E14Rik,1,9172,23291,NaN
3110035E14Rik,1,9110,23316,NaN
3110035E14Rik,1,9031,23348,NaN
3110035E14Rik,1,9468,23384,NaN
3110035E14Rik,1,7927,23518,NaN
3110035E14Rik,1,8504,23554,NaN
3110035E14Rik,1,7907,23583,NaN
3110035E14Rik,1,8087,23660,NaN
3110035E14Rik,1,8086,23670,NaN
3110035E14Rik,1,8457,23672,NaN
3110035E14Rik,1,8576,23672,NaN
3110035E14Rik,1,8694,23678,NaN
3110035E14Rik,1,8331,23687,NaN
3110035E14Rik,1,7932,23742,NaN
3110035E14Rik,1,8071,23779,NaN
3110035E14Rik,1,8027,23826,NaN
3110035E14Rik,1,9614,22379,NaN
3110035E14Rik,1,10724,22456,NaN
3110035E14Rik,1,9927,22490,NaN
3110035E14Rik,1,10427,22563,NaN
3110035E14Rik,1,11052,22567,NaN
3110035E14Rik,1,9743,22756,NaN
3110035E14Rik,1,10442,22804,NaN
3110035E14Rik,1,11233,22808,NaN
3110035E14Rik,1,10037,22847,NaN
3110035E14Rik,1,11074,22982,NaN
3110035E14Rik,1,11074,23052,NaN
3110035E14Rik,1,10563,23070,NaN
3110035E14Rik,1,11178,23113,NaN
3110035E14Rik,1,11091,23124,NaN
3110035E14Rik,1,11097,23126,NaN
3110035E14Rik,1,9823,23148,NaN
3110035E14Rik,1,11140,23208,NaN
3110035E14Rik,1,11223,23252,NaN
3110035E14Rik,1,11072,23254,NaN
3110035E14Rik,1,10193,23268,NaN
3110035E14Rik,1,11098,23278,NaN
3110035E14Rik,1,11083,23280,NaN
3110035E14Rik,1,10949,23306,NaN
3110035E14Rik,1,11039,23334,NaN
3110035E14Rik,1,10221,23352,NaN
3110035E14Rik,1,11245,23367,NaN
3110035E14Rik,1,10819,23417,NaN
3110035E14Rik,1,9559,23420,NaN
3110035E14Rik,1,10891,23435,NaN
3110035E14Rik,1,11179,23464,NaN
3110035E14Rik,1,10473,23476,NaN
3110035E14Rik,1,10665,23486,NaN
3110035E14Rik,1,10601,23504,NaN
3110035E14Rik,1,11064,23507,NaN
3110035E14Rik,1,11055,23512,NaN
3110035E14Rik,1,10607,23545,NaN
3110035E14Rik,1,11249,23561,NaN
3110035E14Rik,1,10880,23572,NaN
3110035E14Rik,1,9629,23608,NaN
3110035E14Rik,1,10467,23647,NaN
3110035E14Rik,1,10685,23668,NaN
3110035E14Rik,1,10262,23700,NaN
3110035E14Rik,1,10486,23705,NaN
3110035E14Rik,1,10595,23711,NaN
3110035E14Rik,1,11236,23711,NaN
3110035E14Rik,1,10597,23718,NaN
3110035E14Rik,1,9822,23770,NaN
3110035E14Rik,1,10169,23809,NaN
3110035E14Rik,1,10141,23830,NaN
3110035E14Rik,1,11260,23850,NaN
3110035E14Rik,1,10523,23863,NaN
3110035E14Rik,1,10384,23886,NaN
3110035E14Rik,1,10871,23889,NaN
3110035E14Rik,1,10146,23890,NaN
3110035E14Rik,1,10089,23925,NaN
3110035E14Rik,1,11143,23925,NaN
3110035E14Rik,1,10365,23936,NaN
3110035E14Rik,1,9856,23940,NaN
3110035E14Rik,1,9975,23944,NaN
3110035E14Rik,1,10679,23947,NaN
3110035E14Rik,1,11135,23953,NaN
3110035E14Rik,1,9679,24007,NaN
3110035E14Rik,1,9770,24008,NaN
3110035E14Rik,1,10178,24017,NaN
3110035E14Rik,1,10268,24079,NaN
3110035E14Rik,1,9844,24080,NaN
3110035E14Rik,1,10998,24085,NaN
3110035E14Rik,1,9634,24087,NaN
3110035E14Rik,1,10276,24087,NaN
3110035E14Rik,1,10025,24093,NaN
3110035E14Rik,1,12115,22484,NaN
3110035E14Rik,1,12117,22495,NaN
3110035E14Rik,1,13017,22503,4317
3110035E14Rik,1,12642,22520,NaN
3110035E14Rik,1,11749,22524,NaN
3110035E14Rik,1,11798,22532,NaN
3110035E14Rik,1,11937,22539,NaN
3110035E14Rik,1,13018,22545,4317
3110035E14Rik,1,13106,22583,4317
3110035E14Rik,1,12582,22590,NaN
3110035E14Rik,1,11790,22596,NaN
3110035E14Rik,1,11383,22620,NaN
3110035E14Rik,1,11600,22642,NaN
3110035E14Rik,1,11659,22664,NaN
3110035E14Rik,1,13173,22666,80
3110035E14Rik,1,12950,22685,96
3110035E14Rik,1,13127,22688,4317
3110035E14Rik,1,13165,22725,4317
3110035E14Rik,1,11774,22740,NaN
3110035E14Rik,1,11805,22745,NaN
3110035E14Rik,1,11741,22749,NaN
3110035E14Rik,1,11842,22766,NaN
3110035E14Rik,1,11880,22772,NaN
3110035E14Rik,1,11892,22841,NaN
3110035E14Rik,1,11807,22895,NaN
3110035E14Rik,1,11448,22925,NaN
3110035E14Rik,1,11940,22955,NaN
3110035E14Rik,1,13158,23002,222
3110035E14Rik,1,13167,23007,223
3110035E14Rik,1,13086,23011,214
3110035E14Rik,1,11848,23021,NaN
3110035E14Rik,1,13105,23043,4317
3110035E14Rik,1,11676,23092,NaN
3110035E14Rik,1,11614,23094,NaN
3110035E14Rik,1,13080,23100,252
3110035E14Rik,1,13034,23101,252
3110035E14Rik,1,12429,23136,4317
3110035E14Rik,1,11633,23137,NaN
3110035E14Rik,1,12428,23137,4317
3110035E14Rik,1,12368,23152,282
3110035E14Rik,1,11423,23172,NaN
3110035E14Rik,1,11686,23204,NaN
3110035E14Rik,1,13119,23228,310
3110035E14Rik,1,13135,23234,310
3110035E14Rik,1,11583,23235,NaN
3110035E14Rik,1,13126,23257,321
3110035E14Rik,1,13066,23267,4317
3110035E14Rik,1,13130,23267,321
3110035E14Rik,1,11395,23278,NaN
3110035E14Rik,1,13069,23359,4317
3110035E14Rik,1,11617,23363,NaN
3110035E14Rik,1,11418,23365,NaN
3110035E14Rik,1,11652,23416,NaN
3110035E14Rik,1,12145,23421,NaN
3110035E14Rik,1,13168,23437,392
3110035E14Rik,1,11414,23483,NaN
3110035E14Rik,1,11356,23493,NaN
3110035E14Rik,1,11370,23501,NaN
3110035E14Rik,1,11460,23508,NaN
3110035E14Rik,1,11533,23590,NaN
3110035E14Rik,1,13121,23590,4317
3110035E14Rik,1,12243,23599,4317
3110035E14Rik,1,13124,23714,4317
3110035E14Rik,1,12543,23725,4317
3110035E14Rik,1,12497,23745,528
3110035E14Rik,1,12496,23755,528
3110035E14Rik,1,12533,23756,528
3110035E14Rik,1,12492,23760,528
3110035E14Rik,1,12524,23772,528
3110035E14Rik,1,11345,23799,NaN
3110035E14Rik,1,11420,23840,NaN
3110035E14Rik,1,13028,23890,580
3110035E14Rik,1,13015,23913,4317
3110035E14Rik,1,12077,23929,597
3110035E14Rik,1,12341,23930,595
3110035E14Rik,1,11880,23993,NaN
3110035E14Rik,1,12919,24066,4317
