Gene,Expt,y,x,neighbour
3110035E14Rik,1,14169,18473,NaN
3110035E14Rik,1,14365,18503,NaN
3110035E14Rik,1,14509,18540,3058
3110035E14Rik,1,12419,18570,NaN
3110035E14Rik,1,12585,19009,NaN
3110035E14Rik,1,12735,19074,NaN
3110035E14Rik,1,11924,19455,NaN
3110035E14Rik,1,12216,19660,NaN
3110035E14Rik,1,12688,19889,NaN
3110035E14Rik,1,12440,19925,NaN
3110035E14Rik,1,11964,19962,NaN
3110035E14Rik,1,14389,18554,7
3110035E14Rik,1,14296,18579,3058
3110035E14Rik,1,14640,18590,9
3110035E14Rik,1,14603,18596,19
3110035E14Rik,1,14808,18596,20
3110035E14Rik,1,14634,18612,9
3110035E14Rik,1,14558,18617,17
3110035E14Rik,1,14752,18620,3058
3110035E14Rik,1,14529,18623,3058
3110035E14Rik,1,14446,18627,3058
3110035E14Rik,1,14716,18631,3058
3110035E14Rik,1,14549,18638,17
3110035E14Rik,1,14445,18640,3058
3110035E14Rik,1,14251,18647,3058
3110035E14Rik,1,14245,18657,3058
3110035E14Rik,1,14608,18706,53
3110035E14Rik,1,14602,18710,53
3110035E14Rik,1,14389,18713,50
3110035E14Rik,1,14519,18722,56
3110035E14Rik,1,14336,18732,58
3110035E14Rik,1,14302,18735,64
3110035E14Rik,1,14816,18751,71
3110035E14Rik,1,14696,18762,3058
3110035E14Rik,1,14317,18767,64
3110035E14Rik,1,14449,18770,3058
3110035E14Rik,1,14500,18773,3058
3110035E14Rik,1,14646,18778,79
3110035E14Rik,1,14504,18782,3058
3110035E14Rik,1,14921,18820,89
3110035E14Rik,1,14493,18837,95
3110035E14Rik,1,14336,18844,98
3110035E14Rik,1,14471,18848,3058
3110035E14Rik,1,14343,18849,98
3110035E14Rik,1,14220,18853,102
3110035E14Rik,1,14212,18861,102
3110035E14Rik,1,14434,18863,109
3110035E14Rik,1,14666,18868,3058
3110035E14Rik,1,14515,18873,3058
3110035E14Rik,1,14568,18876,3058
3110035E14Rik,1,14194,18878,102
3110035E14Rik,1,14550,18892,3058
3110035E14Rik,1,14681,18908,139
3110035E14Rik,1,14191,18910,123
3110035E14Rik,1,14425,18915,3058
3110035E14Rik,1,14210,18920,123
3110035E14Rik,1,14237,18924,3058
3110035E14Rik,1,14469,18926,132
3110035E14Rik,1,14735,18942,3058
3110035E14Rik,1,14692,18946,139
3110035E14Rik,1,14475,18947,145
3110035E14Rik,1,14685,18957,139
3110035E14Rik,1,14723,18980,3058
3110035E14Rik,1,14438,18983,166
3110035E14Rik,1,14500,18987,3058
3110035E14Rik,1,14940,18997,173
3110035E14Rik,1,14888,19002,3058
3110035E14Rik,1,14433,19003,166
3110035E14Rik,1,14431,19010,166
3110035E14Rik,1,14449,19024,178
3110035E14Rik,1,14486,19025,178
3110035E14Rik,1,14540,19048,191
3110035E14Rik,1,14588,19049,186
3110035E14Rik,1,14614,19050,186
3110035E14Rik,1,14463,19052,193
3110035E14Rik,1,14462,19053,193
3110035E14Rik,1,14530,19063,191
3110035E14Rik,1,14839,19075,3058
3110035E14Rik,1,14608,19086,3058
3110035E14Rik,1,14486,19120,212
3110035E14Rik,1,14644,19140,217
3110035E14Rik,1,14648,19143,217
3110035E14Rik,1,14507,19146,212
3110035E14Rik,1,14485,19158,212
3110035E14Rik,1,14560,19164,224
3110035E14Rik,1,14636,19187,3058
3110035E14Rik,1,14621,19206,254
3110035E14Rik,1,14720,19207,245
3110035E14Rik,1,14356,19208,3058
3110035E14Rik,1,14857,19209,255
3110035E14Rik,1,14722,19210,245
3110035E14Rik,1,14839,19210,255
3110035E14Rik,1,14350,19212,3058
3110035E14Rik,1,14725,19212,245
3110035E14Rik,1,14725,19227,245
3110035E14Rik,1,14708,19239,256
3110035E14Rik,1,14144,19260,275
3110035E14Rik,1,14616,19260,271
3110035E14Rik,1,14887,19285,290
3110035E14Rik,1,14713,19291,293
3110035E14Rik,1,14642,19310,3058
3110035E14Rik,1,14857,19317,3058
3110035E14Rik,1,14720,19328,313
3110035E14Rik,1,14730,19336,313
3110035E14Rik,1,14807,19343,316
3110035E14Rik,1,13751,19355,320
3110035E14Rik,1,14830,19360,321
3110035E14Rik,1,14755,19362,3058
3110035E14Rik,1,14666,19368,3058
3110035E14Rik,1,14884,19388,327
3110035E14Rik,1,14605,19400,3058
3110035E14Rik,1,14898,19408,327
3110035E14Rik,1,14643,19409,334
3110035E14Rik,1,14857,19426,338
3110035E14Rik,1,14682,19430,343
3110035E14Rik,1,14722,19437,343
3110035E14Rik,1,14745,19438,351
3110035E14Rik,1,14713,19450,343
3110035E14Rik,1,14830,19460,362
3110035E14Rik,1,14741,19465,355
3110035E14Rik,1,14349,19466,3058
3110035E14Rik,1,14867,19474,367
3110035E14Rik,1,14757,19495,376
3110035E14Rik,1,14814,19496,3058
3110035E14Rik,1,14895,19496,367
3110035E14Rik,1,14844,19497,384
3110035E14Rik,1,14776,19513,380
3110035E14Rik,1,13926,19576,3058
3110035E14Rik,1,14775,19585,3058
3110035E14Rik,1,14898,19621,428
3110035E14Rik,1,14910,19631,438
3110035E14Rik,1,14903,19650,438
3110035E14Rik,1,14916,19674,438
3110035E14Rik,1,13206,19684,NaN
3110035E14Rik,1,14555,19706,3058
3110035E14Rik,1,14944,19708,461
3110035E14Rik,1,13281,19709,NaN
3110035E14Rik,1,13313,19799,NaN
3110035E14Rik,1,14923,19960,3058
3110035E14Rik,1,14543,19972,3058
3110035E14Rik,1,13935,20058,NaN
3110035E14Rik,1,13620,20065,NaN
3110035E14Rik,1,14808,20107,3058
3110035E14Rik,1,14720,20270,703
3110035E14Rik,1,15784,18562,NaN
3110035E14Rik,1,15401,18621,NaN
3110035E14Rik,1,15506,18636,NaN
3110035E14Rik,1,16099,18648,NaN
3110035E14Rik,1,15772,18689,NaN
3110035E14Rik,1,15948,18722,NaN
3110035E14Rik,1,15592,18776,NaN
3110035E14Rik,1,16162,18815,NaN
3110035E14Rik,1,15029,18834,3058
3110035E14Rik,1,15673,18933,NaN
3110035E14Rik,1,15847,19049,NaN
3110035E14Rik,1,15401,19057,3058
3110035E14Rik,1,15822,19060,NaN
3110035E14Rik,1,15523,19176,3058
3110035E14Rik,1,16019,19198,NaN
3110035E14Rik,1,15842,19352,311
3110035E14Rik,1,16069,19400,NaN
3110035E14Rik,1,15639,19422,3058
3110035E14Rik,1,15005,19423,3058
3110035E14Rik,1,15161,19511,378
3110035E14Rik,1,15917,19524,385
3110035E14Rik,1,14965,19576,402
3110035E14Rik,1,14971,19576,402
3110035E14Rik,1,15091,19581,411
3110035E14Rik,1,15015,19649,439
3110035E14Rik,1,16203,19690,NaN
3110035E14Rik,1,14999,19708,462
3110035E14Rik,1,14970,19731,476
3110035E14Rik,1,14981,19736,484
3110035E14Rik,1,15037,19745,3058
3110035E14Rik,1,15136,19765,489
3110035E14Rik,1,15884,19769,3058
3110035E14Rik,1,15028,19772,3058
3110035E14Rik,1,15023,19785,3058
3110035E14Rik,1,15404,19785,496
3110035E14Rik,1,15068,19809,515
3110035E14Rik,1,16064,19809,506
3110035E14Rik,1,15065,19836,515
3110035E14Rik,1,15195,19884,3058
3110035E14Rik,1,15630,19902,543
3110035E14Rik,1,15270,19909,541
3110035E14Rik,1,15131,19925,556
3110035E14Rik,1,16104,19934,564
3110035E14Rik,1,15192,19940,582
3110035E14Rik,1,15235,19940,566
3110035E14Rik,1,15215,20039,625
3110035E14Rik,1,15303,20041,627
3110035E14Rik,1,15675,20112,3058
3110035E14Rik,1,16037,20125,658
3110035E14Rik,1,15289,20152,660
3110035E14Rik,1,15217,20171,3058
3110035E14Rik,1,15348,20243,692
3110035E14Rik,1,15467,20255,701
3110035E14Rik,1,15365,20327,733
3110035E14Rik,1,15436,20342,3058
3110035E14Rik,1,15448,20362,748
3110035E14Rik,1,12561,20447,NaN
3110035E14Rik,1,12261,20619,NaN
3110035E14Rik,1,12250,20628,NaN
3110035E14Rik,1,12628,20746,NaN
3110035E14Rik,1,13039,20848,NaN
3110035E14Rik,1,13046,20850,NaN
3110035E14Rik,1,13082,20859,NaN
3110035E14Rik,1,13097,20861,NaN
3110035E14Rik,1,12697,20938,NaN
3110035E14Rik,1,12730,20938,NaN
3110035E14Rik,1,13104,20957,NaN
3110035E14Rik,1,12147,21112,NaN
3110035E14Rik,1,13068,21138,NaN
3110035E14Rik,1,13111,21140,NaN
3110035E14Rik,1,13017,21191,NaN
3110035E14Rik,1,12775,21273,NaN
3110035E14Rik,1,13000,21276,NaN
3110035E14Rik,1,12032,21290,NaN
3110035E14Rik,1,12881,21334,NaN
3110035E14Rik,1,13094,21347,NaN
3110035E14Rik,1,13021,21354,NaN
3110035E14Rik,1,12979,21355,NaN
3110035E14Rik,1,12533,21455,NaN
3110035E14Rik,1,12945,21457,NaN
3110035E14Rik,1,12487,21468,NaN
3110035E14Rik,1,12761,21568,NaN
3110035E14Rik,1,12763,21642,NaN
3110035E14Rik,1,11986,21656,NaN
3110035E14Rik,1,12808,21726,NaN
3110035E14Rik,1,13067,21740,NaN
3110035E14Rik,1,12938,21798,NaN
3110035E14Rik,1,12902,21995,NaN
3110035E14Rik,1,12933,22042,NaN
3110035E14Rik,1,13108,22100,NaN
3110035E14Rik,1,12855,22206,NaN
3110035E14Rik,1,13112,22213,NaN
3110035E14Rik,1,12911,22223,NaN
3110035E14Rik,1,13891,20400,NaN
3110035E14Rik,1,14538,20429,3058
3110035E14Rik,1,13581,20460,NaN
3110035E14Rik,1,14122,20476,NaN
3110035E14Rik,1,13479,20484,NaN
3110035E14Rik,1,13846,20495,NaN
3110035E14Rik,1,14581,20513,3058
3110035E14Rik,1,13961,20628,NaN
3110035E14Rik,1,14705,20646,3058
3110035E14Rik,1,13769,20650,NaN
3110035E14Rik,1,13160,20691,NaN
3110035E14Rik,1,13801,20743,NaN
3110035E14Rik,1,13433,20771,NaN
3110035E14Rik,1,14605,20807,3058
3110035E14Rik,1,13830,20810,NaN
3110035E14Rik,1,14613,20819,3058
3110035E14Rik,1,14608,20837,3058
3110035E14Rik,1,13746,20904,NaN
3110035E14Rik,1,13704,20907,NaN
3110035E14Rik,1,13891,21004,NaN
3110035E14Rik,1,14019,21039,NaN
3110035E14Rik,1,13913,21146,NaN
3110035E14Rik,1,13919,21152,NaN
3110035E14Rik,1,13655,21210,NaN
3110035E14Rik,1,13209,21212,NaN
3110035E14Rik,1,13890,21268,NaN
3110035E14Rik,1,13891,21269,NaN
3110035E14Rik,1,13496,21273,NaN
3110035E14Rik,1,13518,21332,NaN
3110035E14Rik,1,14771,21396,1133
3110035E14Rik,1,13476,21454,NaN
3110035E14Rik,1,14587,21535,1181
3110035E14Rik,1,13493,21684,NaN
3110035E14Rik,1,13719,21699,NaN
3110035E14Rik,1,13715,21704,NaN
3110035E14Rik,1,13460,21783,NaN
3110035E14Rik,1,13933,21793,NaN
3110035E14Rik,1,13286,21808,NaN
3110035E14Rik,1,14425,21871,3058
3110035E14Rik,1,13328,22093,NaN
3110035E14Rik,1,14831,22105,3058
3110035E14Rik,1,13291,22107,NaN
3110035E14Rik,1,16232,20444,NaN
3110035E14Rik,1,15581,20447,774
3110035E14Rik,1,15139,20464,3058
3110035E14Rik,1,15567,20465,774
3110035E14Rik,1,15442,20471,783
3110035E14Rik,1,16184,20487,NaN
3110035E14Rik,1,16184,20500,NaN
3110035E14Rik,1,15432,20511,800
3110035E14Rik,1,16177,20513,804
3110035E14Rik,1,15438,20531,802
3110035E14Rik,1,15504,20533,799
3110035E14Rik,1,15421,20551,810
3110035E14Rik,1,15582,20561,811
3110035E14Rik,1,15429,20562,820
3110035E14Rik,1,16228,20605,NaN
3110035E14Rik,1,15646,20614,834
3110035E14Rik,1,15510,20621,838
3110035E14Rik,1,15564,20623,844
3110035E14Rik,1,15570,20632,844
3110035E14Rik,1,15269,20653,3058
3110035E14Rik,1,15488,20666,855
3110035E14Rik,1,15583,20679,870
3110035E14Rik,1,15535,20687,873
3110035E14Rik,1,15603,20719,879
3110035E14Rik,1,15476,20734,895
3110035E14Rik,1,15518,20740,887
3110035E14Rik,1,15581,20742,886
3110035E14Rik,1,15953,20743,892
3110035E14Rik,1,15639,20748,890
3110035E14Rik,1,15955,20749,892
3110035E14Rik,1,16128,20764,3058
3110035E14Rik,1,15534,20768,898
3110035E14Rik,1,15529,20779,898
3110035E14Rik,1,15624,20782,3058
3110035E14Rik,1,15547,20807,914
3110035E14Rik,1,15712,20809,3058
3110035E14Rik,1,14990,20818,3058
3110035E14Rik,1,15679,20835,926
3110035E14Rik,1,15654,20837,915
3110035E14Rik,1,15470,20838,3058
3110035E14Rik,1,15435,20852,3058
3110035E14Rik,1,15595,20871,943
3110035E14Rik,1,15535,20901,947
3110035E14Rik,1,15525,20906,947
3110035E14Rik,1,15684,20908,958
3110035E14Rik,1,15522,20966,974
3110035E14Rik,1,15642,21003,980
3110035E14Rik,1,15812,21003,3058
3110035E14Rik,1,15594,21009,991
3110035E14Rik,1,15648,21014,994
3110035E14Rik,1,15560,21027,3058
3110035E14Rik,1,15549,21033,997
3110035E14Rik,1,15770,21036,3058
3110035E14Rik,1,15608,21047,1000
3110035E14Rik,1,15507,21062,3058
3110035E14Rik,1,15512,21081,3058
3110035E14Rik,1,15652,21090,1016
3110035E14Rik,1,15599,21092,1013
3110035E14Rik,1,15651,21103,1016
3110035E14Rik,1,15607,21121,1027
3110035E14Rik,1,15682,21130,1032
3110035E14Rik,1,15499,21137,3058
3110035E14Rik,1,15612,21139,1027
3110035E14Rik,1,15513,21147,3058
3110035E14Rik,1,15647,21178,1051
3110035E14Rik,1,15646,21186,1051
3110035E14Rik,1,15643,21188,1051
3110035E14Rik,1,15663,21196,1057
3110035E14Rik,1,15595,21213,1056
3110035E14Rik,1,15735,21219,3058
3110035E14Rik,1,15672,21224,1057
3110035E14Rik,1,15627,21253,1072
3110035E14Rik,1,15671,21304,1102
3110035E14Rik,1,15519,21313,1096
3110035E14Rik,1,15676,21324,1102
3110035E14Rik,1,15684,21325,1102
3110035E14Rik,1,15620,21335,1098
3110035E14Rik,1,15705,21340,3058
3110035E14Rik,1,15670,21344,1102
3110035E14Rik,1,15585,21367,1117
3110035E14Rik,1,15609,21390,1135
3110035E14Rik,1,15672,21390,1130
3110035E14Rik,1,15660,21396,1130
3110035E14Rik,1,15506,21401,1139
3110035E14Rik,1,15677,21402,1130
3110035E14Rik,1,15630,21411,1128
3110035E14Rik,1,15639,21413,1128
3110035E14Rik,1,15134,21423,3058
3110035E14Rik,1,15659,21427,1143
3110035E14Rik,1,15576,21433,1142
3110035E14Rik,1,15505,21440,1139
3110035E14Rik,1,15550,21441,1148
3110035E14Rik,1,15534,21449,1148
3110035E14Rik,1,15567,21449,1148
3110035E14Rik,1,15807,21479,1155
3110035E14Rik,1,15537,21511,1176
3110035E14Rik,1,15602,21524,1165
3110035E14Rik,1,15572,21526,1182
3110035E14Rik,1,15434,21571,3058
3110035E14Rik,1,15603,21572,1194
3110035E14Rik,1,15655,21572,1192
3110035E14Rik,1,15579,21607,1199
3110035E14Rik,1,15588,21617,1203
3110035E14Rik,1,15616,21617,3058
3110035E14Rik,1,15553,21619,1203
3110035E14Rik,1,15555,21672,1222
3110035E14Rik,1,15470,21735,1235
3110035E14Rik,1,16175,21736,NaN
3110035E14Rik,1,15525,21741,1238
3110035E14Rik,1,15492,21775,1246
3110035E14Rik,1,15519,21787,1247
3110035E14Rik,1,15502,21795,1269
3110035E14Rik,1,15518,21811,1269
3110035E14Rik,1,15468,21818,1264
3110035E14Rik,1,15460,21832,1282
3110035E14Rik,1,15518,21836,1276
3110035E14Rik,1,15562,21842,1277
3110035E14Rik,1,15608,21847,3058
3110035E14Rik,1,15514,21849,1281
3110035E14Rik,1,15546,21855,1288
3110035E14Rik,1,15511,21865,1281
3110035E14Rik,1,15482,21882,1296
3110035E14Rik,1,16132,21913,NaN
3110035E14Rik,1,15427,21914,1308
3110035E14Rik,1,15975,21915,1302
3110035E14Rik,1,15763,21920,3058
3110035E14Rik,1,15407,21940,1318
3110035E14Rik,1,15612,21968,3058
3110035E14Rik,1,15539,21978,3058
3110035E14Rik,1,15678,21986,3058
3110035E14Rik,1,15407,21996,1331
3110035E14Rik,1,15394,22014,1348
3110035E14Rik,1,15903,22041,1350
3110035E14Rik,1,15486,22047,1356
3110035E14Rik,1,15387,22073,1364
3110035E14Rik,1,15545,22077,1366
3110035E14Rik,1,15387,22121,1379
3110035E14Rik,1,15503,22131,1388
3110035E14Rik,1,15349,22215,1420
3110035E14Rik,1,12577,22295,NaN
3110035E14Rik,1,12334,22328,NaN
3110035E14Rik,1,12357,22331,NaN
3110035E14Rik,1,12404,22410,NaN
3110035E14Rik,1,12081,22523,NaN
3110035E14Rik,1,12127,22550,NaN
3110035E14Rik,1,12992,22574,NaN
3110035E14Rik,1,12955,22587,NaN
3110035E14Rik,1,12761,22636,NaN
3110035E14Rik,1,12031,22661,NaN
3110035E14Rik,1,12435,22678,NaN
3110035E14Rik,1,12867,22710,NaN
3110035E14Rik,1,12509,22713,NaN
3110035E14Rik,1,12934,22719,NaN
3110035E14Rik,1,12479,22727,NaN
3110035E14Rik,1,12640,22748,NaN
3110035E14Rik,1,12708,22758,NaN
3110035E14Rik,1,12313,22811,NaN
3110035E14Rik,1,12735,22812,NaN
3110035E14Rik,1,11813,22830,NaN
3110035E14Rik,1,11892,22839,NaN
3110035E14Rik,1,11952,22839,NaN
3110035E14Rik,1,12703,22861,NaN
3110035E14Rik,1,12773,22888,NaN
3110035E14Rik,1,12607,22918,NaN
3110035E14Rik,1,12650,22927,NaN
3110035E14Rik,1,12616,22937,NaN
3110035E14Rik,1,12541,22939,NaN
3110035E14Rik,1,12677,22942,NaN
3110035E14Rik,1,12634,22946,NaN
3110035E14Rik,1,12275,22948,NaN
3110035E14Rik,1,12046,22952,NaN
3110035E14Rik,1,11864,23018,NaN
3110035E14Rik,1,12574,23032,NaN
3110035E14Rik,1,11957,23035,NaN
3110035E14Rik,1,12473,23048,NaN
3110035E14Rik,1,13060,23061,NaN
3110035E14Rik,1,12690,23066,NaN
3110035E14Rik,1,12546,23086,NaN
3110035E14Rik,1,12450,23101,NaN
3110035E14Rik,1,12515,23107,NaN
3110035E14Rik,1,11967,23139,NaN
3110035E14Rik,1,12637,23163,NaN
3110035E14Rik,1,12689,23263,NaN
3110035E14Rik,1,12709,23265,NaN
3110035E14Rik,1,12482,23763,NaN
3110035E14Rik,1,14907,22289,3058
3110035E14Rik,1,13952,22380,3058
3110035E14Rik,1,14666,22441,3058
3110035E14Rik,1,14217,22476,3058
3110035E14Rik,1,14908,22506,3058
3110035E14Rik,1,14192,22569,3058
3110035E14Rik,1,14896,22592,3058
3110035E14Rik,1,14146,22593,3058
3110035E14Rik,1,13456,22674,NaN
3110035E14Rik,1,14969,22712,3058
3110035E14Rik,1,14860,22736,3058
3110035E14Rik,1,14536,22878,3058
3110035E14Rik,1,14824,22899,3058
3110035E14Rik,1,14505,22917,1677
3110035E14Rik,1,14866,22932,1696
3110035E14Rik,1,14885,22938,1696
3110035E14Rik,1,13713,22950,1695
3110035E14Rik,1,14704,22964,3058
3110035E14Rik,1,14872,22998,3058
3110035E14Rik,1,14936,23042,1728
3110035E14Rik,1,14916,23071,1728
3110035E14Rik,1,14919,23072,1728
3110035E14Rik,1,14943,23091,1745
3110035E14Rik,1,14976,23101,1749
3110035E14Rik,1,14856,23108,3058
3110035E14Rik,1,14690,23116,3058
3110035E14Rik,1,14526,23125,3058
3110035E14Rik,1,14887,23129,1769
3110035E14Rik,1,14985,23135,1762
3110035E14Rik,1,14908,23140,1765
3110035E14Rik,1,14517,23144,3058
3110035E14Rik,1,14863,23152,1769
3110035E14Rik,1,14114,23153,3058
3110035E14Rik,1,14991,23171,1784
3110035E14Rik,1,14946,23183,1782
3110035E14Rik,1,14963,23194,1799
3110035E14Rik,1,14834,23201,1801
