Gene,Expt,y,x,neighbour
3110035E14Rik,1,13708,19418,NaN
3110035E14Rik,1,13736,19440,NaN
3110035E14Rik,1,13587,19466,NaN
3110035E14Rik,1,13525,19516,NaN
3110035E14Rik,1,13535,19534,NaN
3110035E14Rik,1,14186,19537,NaN
3110035E14Rik,1,13434,19612,NaN
3110035E14Rik,1,13757,19657,NaN
3110035E14Rik,1,13748,19669,NaN
3110035E14Rik,1,13592,19688,NaN
3110035E14Rik,1,13354,19710,NaN
3110035E14Rik,1,13960,19710,NaN
3110035E14Rik,1,15017,19715,NaN
3110035E14Rik,1,13518,19722,NaN
3110035E14Rik,1,14663,19850,NaN
3110035E14Rik,1,13426,19852,NaN
3110035E14Rik,1,14720,19852,NaN
3110035E14Rik,1,14978,19903,NaN
3110035E14Rik,1,13717,19906,NaN
3110035E14Rik,1,13714,19907,NaN
3110035E14Rik,1,14137,19913,NaN
3110035E14Rik,1,14149,19926,NaN
3110035E14Rik,1,14959,19942,NaN
3110035E14Rik,1,13617,20003,NaN
3110035E14Rik,1,14168,20041,NaN
3110035E14Rik,1,14430,20050,NaN
3110035E14Rik,1,14147,20060,NaN
3110035E14Rik,1,14152,20062,NaN
3110035E14Rik,1,14672,20066,NaN
3110035E14Rik,1,14151,20072,NaN
3110035E14Rik,1,14656,20082,NaN
3110035E14Rik,1,13778,20105,NaN
3110035E14Rik,1,13350,20213,NaN
3110035E14Rik,1,13699,20217,NaN
3110035E14Rik,1,14365,20230,NaN
3110035E14Rik,1,14914,20284,NaN
3110035E14Rik,1,14839,20306,NaN
3110035E14Rik,1,13678,20308,NaN
3110035E14Rik,1,14960,20328,NaN
3110035E14Rik,1,14750,20355,NaN
3110035E14Rik,1,15039,20355,NaN
3110035E14Rik,1,14734,20356,NaN
3110035E14Rik,1,15035,20375,NaN
3110035E14Rik,1,14530,20377,NaN
3110035E14Rik,1,14902,20384,NaN
3110035E14Rik,1,16306,19372,NaN
3110035E14Rik,1,16327,19373,NaN
3110035E14Rik,1,15933,19375,NaN
3110035E14Rik,1,16065,19376,NaN
3110035E14Rik,1,16306,19376,NaN
3110035E14Rik,1,15917,19381,NaN
3110035E14Rik,1,16086,19383,NaN
3110035E14Rik,1,16652,19384,3414
3110035E14Rik,1,16319,19385,NaN
3110035E14Rik,1,16213,19393,7
3110035E14Rik,1,15982,19394,NaN
3110035E14Rik,1,16216,19401,7
3110035E14Rik,1,15649,19402,NaN
3110035E14Rik,1,16202,19404,7
3110035E14Rik,1,15950,19420,NaN
3110035E14Rik,1,15957,19430,NaN
3110035E14Rik,1,16832,19436,14
3110035E14Rik,1,15938,19437,NaN
3110035E14Rik,1,15964,19438,NaN
3110035E14Rik,1,15993,19440,NaN
3110035E14Rik,1,16216,19441,3414
3110035E14Rik,1,16485,19443,3414
3110035E14Rik,1,16184,19451,27
3110035E14Rik,1,16309,19451,3414
3110035E14Rik,1,15880,19452,NaN
3110035E14Rik,1,16189,19456,27
3110035E14Rik,1,16496,19458,3414
3110035E14Rik,1,15728,19461,NaN
3110035E14Rik,1,16153,19462,26
3110035E14Rik,1,15680,19463,NaN
3110035E14Rik,1,16117,19469,18
3110035E14Rik,1,16166,19472,26
3110035E14Rik,1,15404,19473,NaN
3110035E14Rik,1,16134,19474,32
3110035E14Rik,1,15673,19476,NaN
3110035E14Rik,1,15891,19478,NaN
3110035E14Rik,1,15907,19479,NaN
3110035E14Rik,1,16438,19479,3414
3110035E14Rik,1,16200,19480,27
3110035E14Rik,1,16516,19481,24
3110035E14Rik,1,16295,19484,3414
3110035E14Rik,1,16149,19490,32
3110035E14Rik,1,15887,19491,NaN
3110035E14Rik,1,16100,19491,3414
3110035E14Rik,1,16403,19502,3414
3110035E14Rik,1,16414,19505,45
3110035E14Rik,1,16069,19510,44
3110035E14Rik,1,16102,19511,3414
3110035E14Rik,1,15911,19512,46
3110035E14Rik,1,15048,19514,NaN
3110035E14Rik,1,16426,19520,45
3110035E14Rik,1,16786,19521,51
3110035E14Rik,1,16043,19529,3414
3110035E14Rik,1,16443,19530,45
3110035E14Rik,1,15829,19532,NaN
3110035E14Rik,1,16240,19539,3414
3110035E14Rik,1,16421,19546,45
3110035E14Rik,1,16613,19555,68
3110035E14Rik,1,16471,19556,66
3110035E14Rik,1,16226,19566,77
3110035E14Rik,1,15809,19568,72
3110035E14Rik,1,16030,19574,3414
3110035E14Rik,1,16356,19575,78
3110035E14Rik,1,16041,19576,3414
3110035E14Rik,1,16648,19582,3414
3110035E14Rik,1,16254,19585,77
3110035E14Rik,1,15153,19586,NaN
3110035E14Rik,1,16397,19594,3414
3110035E14Rik,1,16084,19596,87
3110035E14Rik,1,16625,19599,3414
3110035E14Rik,1,16100,19602,86
3110035E14Rik,1,16579,19610,3414
3110035E14Rik,1,16184,19614,84
3110035E14Rik,1,16319,19614,106
3110035E14Rik,1,16650,19621,97
3110035E14Rik,1,16642,19625,97
3110035E14Rik,1,16090,19626,3414
3110035E14Rik,1,15098,19632,NaN
3110035E14Rik,1,16399,19632,3414
3110035E14Rik,1,16299,19633,106
3110035E14Rik,1,16076,19635,102
3110035E14Rik,1,15844,19640,110
3110035E14Rik,1,16677,19643,3414
3110035E14Rik,1,16288,19644,115
3110035E14Rik,1,16579,19654,107
3110035E14Rik,1,16052,19659,102
3110035E14Rik,1,16110,19660,116
3110035E14Rik,1,16392,19660,128
3110035E14Rik,1,16476,19662,3414
3110035E14Rik,1,15998,19663,114
