Gene,Expt,y,x,neighbour
3110035E14Rik,1,17941,18388,NaN
3110035E14Rik,1,17977,18394,NaN
3110035E14Rik,1,18023,18394,NaN
3110035E14Rik,1,18039,18394,NaN
3110035E14Rik,1,17910,18396,NaN
3110035E14Rik,1,17789,18398,NaN
3110035E14Rik,1,17219,18400,NaN
3110035E14Rik,1,17986,18413,5
3110035E14Rik,1,17822,18419,NaN
3110035E14Rik,1,17881,18421,8
3110035E14Rik,1,17941,18427,11
3110035E14Rik,1,18015,18440,3214
3110035E14Rik,1,17804,18461,20
3110035E14Rik,1,18039,18466,25
3110035E14Rik,1,17981,18468,17
3110035E14Rik,1,17849,18479,19
3110035E14Rik,1,17921,18480,23
3110035E14Rik,1,18037,18494,25
3110035E14Rik,1,19691,18404,NaN
3110035E14Rik,1,19095,18425,NaN
3110035E14Rik,1,19418,18460,NaN
3110035E14Rik,1,16000,18615,NaN
3110035E14Rik,1,16463,18632,NaN
3110035E14Rik,1,16462,18633,NaN
3110035E14Rik,1,16165,18673,NaN
3110035E14Rik,1,16217,18852,NaN
3110035E14Rik,1,16735,18895,NaN
3110035E14Rik,1,16388,18896,NaN
3110035E14Rik,1,16302,18956,NaN
3110035E14Rik,1,16301,18957,NaN
3110035E14Rik,1,16465,18957,NaN
3110035E14Rik,1,16275,18984,NaN
3110035E14Rik,1,16276,18985,NaN
3110035E14Rik,1,16492,19005,NaN
3110035E14Rik,1,16546,19011,NaN
3110035E14Rik,1,16497,19058,NaN
3110035E14Rik,1,15921,19095,NaN
3110035E14Rik,1,16569,19184,NaN
3110035E14Rik,1,16278,19188,NaN
3110035E14Rik,1,16648,19215,NaN
3110035E14Rik,1,16424,19253,NaN
3110035E14Rik,1,16425,19254,NaN
3110035E14Rik,1,16397,19266,NaN
3110035E14Rik,1,16600,19280,NaN
3110035E14Rik,1,16376,19289,NaN
3110035E14Rik,1,16735,19302,NaN
3110035E14Rik,1,16376,19363,NaN
3110035E14Rik,1,16672,19365,NaN
3110035E14Rik,1,16643,19391,NaN
3110035E14Rik,1,16009,19400,NaN
3110035E14Rik,1,16006,19402,NaN
3110035E14Rik,1,16539,19444,NaN
3110035E14Rik,1,16517,19467,NaN
3110035E14Rik,1,16708,19511,NaN
3110035E14Rik,1,16591,19515,NaN
3110035E14Rik,1,15884,19540,NaN
3110035E14Rik,1,16304,19543,NaN
3110035E14Rik,1,16433,19555,NaN
3110035E14Rik,1,16751,19567,NaN
3110035E14Rik,1,16514,19605,NaN
3110035E14Rik,1,16292,19629,NaN
3110035E14Rik,1,16612,19636,NaN
3110035E14Rik,1,16722,19671,NaN
3110035E14Rik,1,16537,19682,NaN
3110035E14Rik,1,16441,19692,NaN
3110035E14Rik,1,16176,19718,NaN
3110035E14Rik,1,16389,19797,NaN
3110035E14Rik,1,16638,19808,NaN
3110035E14Rik,1,16342,19887,NaN
3110035E14Rik,1,16453,19906,NaN
3110035E14Rik,1,16510,19915,NaN
3110035E14Rik,1,16725,19915,NaN
3110035E14Rik,1,16587,19928,NaN
3110035E14Rik,1,15981,20012,NaN
3110035E14Rik,1,16622,20012,NaN
3110035E14Rik,1,16457,20025,NaN
3110035E14Rik,1,16488,20120,NaN
3110035E14Rik,1,16635,20168,NaN
3110035E14Rik,1,16655,20182,NaN
3110035E14Rik,1,16649,20217,NaN
3110035E14Rik,1,16688,20248,NaN
3110035E14Rik,1,16441,20265,NaN
3110035E14Rik,1,16586,20287,NaN
3110035E14Rik,1,17782,18510,3214
3110035E14Rik,1,17933,18514,31
3110035E14Rik,1,18106,18514,28
3110035E14Rik,1,17847,18533,3214
3110035E14Rik,1,18092,18534,36
3110035E14Rik,1,18039,18558,37
3110035E14Rik,1,17979,18568,38
3110035E14Rik,1,18108,18571,44
3110035E14Rik,1,18116,18580,44
3110035E14Rik,1,18185,18583,45
3110035E14Rik,1,18179,18606,53
3110035E14Rik,1,16812,18607,NaN
3110035E14Rik,1,17691,18614,3214
3110035E14Rik,1,18037,18635,62
3110035E14Rik,1,18197,18637,61
3110035E14Rik,1,18208,18642,61
3110035E14Rik,1,18205,18649,67
3110035E14Rik,1,17966,18657,3214
3110035E14Rik,1,18178,18660,65
3110035E14Rik,1,18040,18661,68
3110035E14Rik,1,18073,18671,63
3110035E14Rik,1,17977,18673,3214
3110035E14Rik,1,18206,18676,67
3110035E14Rik,1,18145,18684,73
3110035E14Rik,1,18012,18693,72
3110035E14Rik,1,18109,18694,76
3110035E14Rik,1,18087,18695,77
3110035E14Rik,1,18286,18696,78
3110035E14Rik,1,18109,18714,76
3110035E14Rik,1,18064,18732,83
