Gene,Expt,y,x,neighbour
3110035E14Rik,1,9402,21735,NaN
3110035E14Rik,1,10766,21817,NaN
3110035E14Rik,1,9666,21820,NaN
3110035E14Rik,1,10575,21927,NaN
3110035E14Rik,1,9568,21980,NaN
3110035E14Rik,1,9951,21981,NaN
3110035E14Rik,1,10101,22029,NaN
3110035E14Rik,1,11100,22173,NaN
3110035E14Rik,1,11736,21708,NaN
3110035E14Rik,1,12144,21720,NaN
3110035E14Rik,1,12255,21751,NaN
3110035E14Rik,1,12460,21776,NaN
3110035E14Rik,1,12475,21781,NaN
3110035E14Rik,1,12012,21814,NaN
3110035E14Rik,1,12057,21833,NaN
3110035E14Rik,1,11528,21838,NaN
3110035E14Rik,1,11616,21873,NaN
3110035E14Rik,1,12165,21886,NaN
3110035E14Rik,1,11382,21906,NaN
3110035E14Rik,1,11463,21911,NaN
3110035E14Rik,1,11456,21917,NaN
3110035E14Rik,1,12945,21965,NaN
3110035E14Rik,1,12572,21970,NaN
3110035E14Rik,1,12974,22030,NaN
3110035E14Rik,1,12886,22058,NaN
3110035E14Rik,1,12713,22067,NaN
3110035E14Rik,1,12881,22109,NaN
3110035E14Rik,1,12977,22121,NaN
3110035E14Rik,1,12822,22141,NaN
3110035E14Rik,1,11878,22153,NaN
3110035E14Rik,1,12777,22162,NaN
3110035E14Rik,1,12834,22165,NaN
3110035E14Rik,1,12702,22175,NaN
3110035E14Rik,1,12745,22202,NaN
3110035E14Rik,1,11721,22214,NaN
3110035E14Rik,1,14807,21710,NaN
3110035E14Rik,1,13166,21719,NaN
3110035E14Rik,1,14239,21730,NaN
3110035E14Rik,1,13191,21750,NaN
3110035E14Rik,1,14606,21755,NaN
3110035E14Rik,1,14688,21765,NaN
3110035E14Rik,1,13096,21798,NaN
3110035E14Rik,1,13004,21814,NaN
3110035E14Rik,1,13802,21820,NaN
3110035E14Rik,1,14578,21833,NaN
3110035E14Rik,1,14448,21853,NaN
3110035E14Rik,1,14770,21853,NaN
3110035E14Rik,1,13351,21875,NaN
3110035E14Rik,1,14520,21879,NaN
3110035E14Rik,1,13450,21903,NaN
3110035E14Rik,1,14608,21906,NaN
3110035E14Rik,1,13821,21914,NaN
3110035E14Rik,1,13301,21925,NaN
3110035E14Rik,1,13179,21929,NaN
3110035E14Rik,1,14350,21929,NaN
3110035E14Rik,1,13068,21940,NaN
3110035E14Rik,1,13272,21949,NaN
3110035E14Rik,1,13307,21950,NaN
3110035E14Rik,1,13289,21958,NaN
3110035E14Rik,1,13822,21977,NaN
3110035E14Rik,1,14792,21984,3304
3110035E14Rik,1,13170,21995,NaN
3110035E14Rik,1,14838,22004,59
3110035E14Rik,1,14843,22023,59
3110035E14Rik,1,14154,22029,NaN
3110035E14Rik,1,14677,22029,3304
3110035E14Rik,1,14668,22056,3304
3110035E14Rik,1,14602,22058,78
3110035E14Rik,1,13379,22059,NaN
